regcode,provcode,hhnum,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,cu,psurec,strrec,wgts
1,28,4,420.75,410.125,3.75,6.875,341.875,48.5,0,261.375,185,76.375,0,0,0,140.15628,0,140.15628,0,17.75,74.34375,74.34375,0,6.5,17.375,5.5,11.875,0,1328.625,17440.08,464.81683,3962.1509,106.48937,31900.283,1531.757,7.1338801,10.01719,178.00281,3548.0991,154.41576,8,1703035000,28022,5272
1,28,5,502.17465,502.17465,0,0,0,29.333334,0,682.33331,83.666664,598.66669,0,0,0,60.536667,60.536667,0,0,0,167.75,167.75,0,13.666667,12,0.33333334,11.666667,0,1467.7947,6134.2388,156.05417,2769.4297,38.60923,1241.2002,217.5896,1.92752,2.4647999,52.84021,1216.8271,70.805702,3,1703035000,28022,5272
1,28,6,399.03375,392.625,2.8125,3.5962501,5.4375,27,0,206.25,7.3125,198.9375,5.8125,0,5.8125,76.955627,28.421249,48.534374,0,53.25,82.921875,82.921875,0,4.6875,19.875,0.1875,19.6875,0,881.22375,9046.0479,245.23074,2784.4448,53.242989,1711.1769,123.7062,3.0813301,3.8831799,85.553459,1751.6492,117.32754,5.3333335,1703035000,28022,5272
1,28,7,395.25491,390.57764,0,4.6772728,0,11.454545,0,288.31247,45.926407,242.38608,0,0,0,66.680084,19.257818,47.422264,0,33.81818,0,0,0,20.181818,120,110.72727,9.272727,0,935.70203,7436.2798,164.91096,2027.0621,40.506008,1575.8895,285.87891,2.63151,1.94115,69.042938,1297.1097,176.18619,3.6666667,1703035000,28022,5272
1,28,10,277.67334,277.67334,0,0,0,0,7.1500001,277.55542,32.480434,245.075,0,0,0,24.309999,24.309999,0,0,15.666667,68.625,68.625,0,9.666667,3.6666667,0,3.6666667,0,684.31378,2584.3291,75.063049,1186.5757,16.574539,866.42657,144.27452,1.06046,1.38631,25.7113,467.58817,45.77747,3,1703035000,28022,5272
1,28,17,517.59967,449.396,0,68.203667,0,49.16,0,470.88181,34.86179,436.02002,0,0,0,58.032856,32.889999,0,25.142857,39.666668,15.25,15.25,0,74.333336,1.3333334,0.66666669,0.66666669,0,1226.2577,8181.0156,187.37286,2154.2981,44.263351,1401.0288,229.09389,3.6814201,2.9596,70.841209,1568.1432,127.62756,3,2104006000,28012,5251.96
1,28,18,335.82254,277.84616,0,57.976383,0,41.76923,5.0769229,138.46153,0,138.46153,27.923077,27.923077,0,219.98456,38.560665,181.42389,0,12.923077,0,0,0,166.15384,158.30769,150,8.3076925,0,1106.4225,11661.368,263.24896,1796.217,53.88073,2313.5862,152.0533,8.6490602,4.50951,108.33038,1641.0671,447.56699,4.3333335,2104006000,28012,5251.96
1,28,19,418.366,396.89099,10,11.475,0,33.333332,86,150.46675,0.47073334,149.99602,0,0,0,344.82773,0,344.82773,0,0,0,0,0,33.333332,78,67.333336,3.3333333,7.3333335,1144.3271,11399.955,269.97629,992.96417,32.817829,648.98975,90.807777,4.3673,2.2795999,98.622223,1185.9343,618.88928,3,2104006000,28012,5251.96
1,28,20,260.16763,232.82291,0,27.344727,0,11.727273,0,429.41232,0,429.41232,0,0,0,25.873425,25.873425,0,0,0,49.909092,0,49.909092,0,6.2727275,1.0909091,5.181818,0,783.36249,4459.439,121.75244,1364.3688,27.5065,320.099,220.67012,2.8231399,1.75178,55.208561,944.40656,21.638161,3.6666667,2104006000,28012,5251.96
1,28,22,171.12883,171.12883,0,0,0,23.666666,0,315.83334,0,315.83334,0,0,0,33.366665,33.366665,0,0,0,0,0,0,0,3.6666667,0.33333334,3.3333333,0,547.66217,4945.9917,138.74628,2477.3418,36.309978,684.30585,502.70319,2.3220899,1.9455,49.901619,1069.2272,12.48349,6,2104006000,28012,5251.96
1,28,24,398.13049,267.25,0,130.88049,0,30,0,223.75,0,223.75,42,0,42,65.830002,15.73,50.099998,0,0,213.5,213.5,0,40,3,2.25,0.75,0,1016.2105,8719.4482,219.98639,3049.5999,68.517853,1323.4489,197.1113,5.8344402,4.6455498,80.873642,1433.5509,226.07619,4,5209025000,28022,5283.96
1,28,25,480.36218,427.79126,0,52.570908,0,48.927273,6.2727275,413.01212,227.18182,185.83029,66.818184,66.818184,0,396.35458,303.7608,92.593781,0,32.727272,0,0,0,15,13.636364,0.54545456,13.090909,0,1473.1107,9652.2959,292.29095,1740.1952,44.267021,1939.9948,187.9014,4.2335901,3.3140199,91.157707,1359.4293,337.96136,3.6666667,5209025000,28022,5283.96
1,28,28,271.13333,271.13333,0,0,201.36037,84.400002,0,291.76447,165.09779,126.66666,4,4,0,107.09,28.6,78.489998,0,0,30.5,30.5,0,7.3333335,8.666667,1.3333334,7.3333335,0,1006.2482,4181.2441,96.560059,1730.3051,30.7649,2048.6372,305.71548,1.27368,1.4299999,35.18042,836.03784,50.209141,3,5209025000,28022,5283.96
1,28,29,388.55499,361.05499,0,27.5,0,28.5,66.5,95,0,95,0,0,0,28.6,28.6,0,0,45,0,0,0,22.5,33.5,2.5,25,6,708.15503,3237.3755,88.195313,913.25562,24.129009,231.29517,6.941,2.46173,1.3109699,38.497131,566.82825,75.12059,2,5209025000,28022,5283.96
1,28,33,367.85849,354.29849,0,13.56,0,0.60000002,0,273.25385,0,273.25385,29.700001,0,29.700001,363.21729,177.72427,185.493,0,0,0,0,0,4.5,10.2,2.4000001,7.8000002,0,1049.3296,7415.2695,288.06631,1293.4918,37.937969,1160.6779,143.15179,4.0478501,3.52507,123.54292,1035.2501,235.47702,3.3333333,11317014000,28012,5267.96
1,28,34,414.97025,375.70587,0,39.264355,0,0,0,28.963091,7.7647057,21.198385,0,0,0,41.321896,41.321896,0,0,0,0,0,0,0,0,0,0,0,485.25522,9252.0762,221.69946,1653.8115,35.987309,625.32892,62.384048,3.7645299,2.8671801,87.187576,1931.4127,71.749939,5.6666665,11317014000,28012,5267.96
1,28,36,414,414,0,0,103.36688,13.86,0,146.75,16,130.75,354.013,14.727272,339.28571,225.38681,217.03682,8.3500004,0,0,57.1875,57.1875,0,15.75,2.75,0.25,2.5,0,1333.0642,7973.7734,231.97862,2206.4243,36.147949,1320.5116,241.8109,2.94964,2.74264,77.786919,1470.0123,128.9595,4,11317014000,28012,5267.96
