regcode,provcode,hhnum,member_code,age,sex,psc,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,psurec,strrec,wgts
1,28,1,6,2.9267626,1,99,172.806,110.505,0,62.300999,0,21.719999,0,24.863041,24.863041,0,0,0,0,17.096149,17.096149,0,0,0,0,0,0,0,15,15,0,0,481.2504,933.9932251,23.62487984,181.7911377,1.178560019,0.571940005,9.898889542,4.721839905,182.6042938,12.02863979,283.2887268,8.890850067,1703035000,28022,5272
1,28,1,5,5.2731009,1,99,167.92551,126.1425,0,41.783001,0,31.440001,0,23.282709,23.282709,0,0,0,0,50.496151,17.096149,33.400002,0,0,0,0,0,1.67,10,10,0,0,536.51874,900.354248,21.65423012,149.9084167,0.967440009,0.487340003,9.461440086,8.181500435,169.8799438,14.74602985,228.9611206,6.81427002,1703035000,28022,5272
1,28,3,9,3.1676934,1,99,170.36775,155.85374,0,14.514,0,9,0,23.00704,20.50704,2.5,193.15068,0,193.15068,44.567501,25,19.567499,0,0,171.5625,171.5625,0,0,0.064999998,0.064999998,0,0,1214.4409,1057.95459,27.63134956,472.8632202,0.345959991,0.585020006,8.163849831,36.37445068,201.4357605,15.70275974,220.786499,3.972579956,1703035000,28022,5272
1,28,3,2,38.948666,2,10,373.85101,358.203,0,15.648,0,4,0,377.43607,178.80283,198.63326,71.917809,0,71.917809,102.97872,50,52.978722,0,0,76.25,76.25,0,0,1,1,0,0,1007.4336,1898.377319,50.97555161,779.7061157,9.404979706,502.6669006,98.48925781,0.808409989,0.721069992,18.51388931,350.6416626,32.35752869,1703035000,28022,5272
1,28,3,8,4.0410676,2,0,174.11075,163.77675,0,10.334,0,6.5,0,28.133801,25.633801,2.5,128.76712,0,128.76712,104.115,75,29.115,0,0,114.375,114.375,0,0,0.13,0.13,0,0,1105.7633,1007.936035,33.99536133,778.9006958,0.373860002,0.512189984,10.03530979,26.37339973,185.3266907,14.44064045,202.2715759,4.23251009,1703035000,28022,5272
1,28,4,2,40.67625,2,12,372.96899,266.88,0,106.089,210,5.5,0,92.019203,82.08049,9.9387102,69.863007,0,69.863007,448.96573,0,448.96573,0,19.77701,38.125,38.125,0,1.5,5.5,5.5,0,0,1264.219,2926.066895,107.0815506,648.1755981,20.19771004,7286.537598,150.3403625,1.707100034,2.235379934,33.48580933,374.5283813,110.8742905,1703035000,28022,5272
1,28,4,5,4.7693362,2,0,85.39975,59.318249,0,26.081499,0,32.799999,0,0,0,0,23.28767,0,23.28767,13.24468,0,13.24468,0,0,343.125,343.125,0,0,22.75,22.75,0,0,1008.4142,885.2967529,22.05079079,521.9091797,0.42978999,1.216969967,6.218929768,79.77500153,142.6156006,25.23436928,352.21875,2.48190999,1703035000,28022,5272
1,28,4,6,1.779603,2,0,36.057499,26.0625,0,9.9949999,106,34.139999,0,0,0,0,66,0,66,13.24468,0,13.24468,0,4.9442501,477.375,114.375,363,0.38499999,0,0,0,0,1330.8236,659.2410889,11.65266991,254.1603546,0.209319994,0.450159997,2.850529909,51.43780136,112.350029,18.05291939,149.6408691,2.212090015,1703035000,28022,5272
1,28,5,3,2.5160849,1,99,97.682251,97.682251,0,0,0,42,0,95.625,0,95.625,0,0,0,0,0,0,0,0,800.625,800.625,0,0,0,0,0,0,2029.8645,1094.66626,37.68373871,965.9141846,0.466300011,1.910640001,4.434579849,34.97249985,168.4465332,29.96491051,792.75,1.942070007,1703035000,28022,5272
1,28,6,6,3.0390143,1,99,151.556,136.92599,0,14.63,0,308,0,16.55838,0,16.55838,0,0,0,31.5,31.5,0,0,63.218391,190.625,190.625,0,5,7.5,7.5,0,0,1171.6971,1228.124268,26.85038948,334.2260437,0.23624,0.826680005,8.638660431,30.77183914,218.6991577,27.29034996,370.019043,4.605350018,1703035000,28022,5272
1,28,7,3,2.9623547,2,0,95.525002,27.105,0,68.419998,0,2,0,0,0,0,0,0,0,76.379997,0,76.379997,0,0,0,0,0,0,100.25,100.25,0,0,546.31,801.9003906,25.99851036,100.3427505,0.642130017,0.255199999,7.277699947,6.527599812,111.618927,27.92370987,59.72132874,4.809599876,1703035000,28022,5272
1,28,8,5,3.2197125,2,0,98.770248,79.751251,0,19.018999,0,1,0,25.8342,0,25.8342,5,0,5,0,0,0,0,31.6092,0,0,0,0,12,12,0,0,315.81808,618.3880615,13.15017986,111.4356384,0.29629001,0.28678,5.503849983,20.84627914,109.8449936,14.18060017,171.4268646,3.639489889,1703035000,28022,5272
1,28,10,3,3.1430528,2,0,123.0045,107.7945,0,15.21,0,4.5,0,22.33144,15.70563,6.6258101,0,0,0,0,0,0,0,35.91954,76.25,76.25,0,3.125,0,0,0,0,486.71643,693.7032471,17.26642036,163.8579407,0.229090005,0.400950015,5.946239948,4.985839844,119.9759216,16.04791069,189.0743866,2.780440092,1703035000,28022,5272
1,28,10,2,23.761806,2,10,372.79199,349.23749,0,23.554501,0,22.5,0,276.39746,35.464291,240.93317,0,0,0,182.8125,182.8125,0,0,0,76.25,76.25,0,2.5,0,0,0,0,933.25195,1709.113892,61.41878891,515.3423462,8.184149742,693.4771118,78.81700134,0.777159989,0.888090014,18.44524002,333.9173584,14.17591,1703035000,28022,5272
1,28,11,1,26.047913,2,12,171.4285,159.916,0,11.5125,25.34156,18.780001,0,377.29825,65.148117,312.15015,0,0,0,228.07367,132.13657,47.549999,48.3871,0,0,0,0,25.834999,0,0,0,0,846.75702,1154.024414,47.84915924,353.3478699,6.71296978,476.4562683,81.77301788,0.710810006,0.60364002,21.08404922,191.0220642,21.91311073,2104006000,28012,5251.959961
