regcode,provcode,hhnum,FDSEC01_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC10_RC,psurec,strrec,wgts
1,28,1,0,0,0,0,0,0,0,0,0,0,1703035000,28022,5272
1,28,3,0,0,2,0,0,2,1,1,1,1,1703035000,28022,5272
1,28,4,0,0,0,0,0,0,0,0,0,0,1703035000,28022,5272
1,28,5,0,0,0,0,0,0,1,1,1,1,1703035000,28022,5272
1,28,6,0,0,0,0,0,0,2,2,2,2,1703035000,28022,5272
1,28,7,0,0,0,0,0,0,1,1,1,1,1703035000,28022,5272
1,28,8,0,0,0,0,0,0,0,0,0,0,1703035000,28022,5272
1,28,10,0,0,0,0,0,0,2,2,2,2,1703035000,28022,5272
1,28,12,0,0,0,0,0,0,0,0,0,0,2104006000,28012,5251.96
1,28,13,0,0,0,0,0,0,0,0,0,0,2104006000,28012,5251.96
1,28,15,0,0,0,0,0,0,0,0,0,0,2104006000,28012,5251.96
1,28,18,0,0,0,0,0,0,0,0,0,0,2104006000,28012,5251.96
1,28,19,0,0,0,0,0,0,0,0,0,0,2104006000,28012,5251.96
1,28,20,0,0,0,0,0,0,0,0,0,0,2104006000,28012,5251.96
1,28,22,2,0,2,1,2,2,1,1,1,2,2104006000,28012,5251.96
1,28,24,0,0,0,0,0,0,2,2,0,0,5209025000,28022,5283.96
1,28,25,0,0,0,0,0,0,2,2,2,2,5209025000,28022,5283.96
1,28,26,0,0,0,0,0,0,0,0,0,0,5209025000,28022,5283.96
1,28,30,2,0,0,2,0,0,1,1,1,1,5209025000,28022,5283.96
1,28,34,1,0,1,1,0,1,2,2,2,2,11317014000,28012,5267.96
1,28,38,2,2,1,0,0,0,1,1,0,0,11317014000,28012,5267.96
1,28,39,2,2,0,2,1,1,2,2,2,2,11317014000,28012,5267.96
1,28,40,0,0,0,0,0,0,0,0,0,0,11317014000,28012,5267.96
1,28,42,0,0,0,0,0,0,2,0,0,0,11317014000,28012,5267.96
1,28,46,1,2,1,1,2,1,1,2,2,2,12318023000,28012,5264
1,28,52,0,0,0,0,0,0,0,0,0,0,12318023000,28012,5264
1,28,54,2,0,2,0,0,0,1,1,2,1,12318023000,28012,5264
1,28,55,0,0,0,0,0,0,1,2,0,2,12318023000,28012,5264
1,28,59,0,0,0,0,0,0,2,2,0,2,12318023000,28012,5264
1,29,61,0,0,0,0,0,0,2,0,0,0,21207010000,29012,5276
1,29,65,0,0,0,0,0,0,2,0,0,0,21207010000,29012,5276
1,29,66,0,0,0,0,0,0,2,0,0,0,21207010000,29012,5276
1,29,68,0,0,0,0,0,0,0,0,0,0,21207010000,29012,5276
1,29,69,1,0,0,1,0,0,1,2,2,2,21207010000,29012,5276
1,29,71,0,0,0,0,0,0,0,0,0,0,29225015000,29022,5288
1,29,73,0,0,0,0,0,0,2,2,0,0,29225015000,29022,5288
1,29,76,0,0,0,0,0,0,2,2,0,2,29225015000,29022,5288
1,29,81,0,0,0,0,0,0,0,0,0,0,30626001000,29022,5275.96
1,29,84,0,0,0,0,0,0,2,2,0,2,30626001000,29022,5275.96
1,29,86,0,0,0,0,0,0,0,0,0,0,30626001000,29022,5275.96
1,29,87,1,0,0,0,0,0,0,0,0,0,30626001000,29022,5275.96
1,29,88,0,0,0,0,0,0,1,2,2,2,30626001000,29022,5275.96
1,29,91,2,0,0,0,0,0,1,2,0,1,30626001000,29022,5275.96
1,29,92,0,0,0,0,0,0,0,0,0,0,31427008000,29012,5296
1,29,94,1,0,1,1,0,1,1,1,1,1,31427008000,29012,5296
1,29,96,0,0,0,0,0,0,0,0,0,0,31427008000,29012,5296
1,29,98,0,0,0,0,0,0,0,0,0,0,31427008000,29012,5296
1,29,100,0,0,0,0,0,0,1,1,2,2,31427008000,29012,5296
1,29,101,0,0,0,0,0,0,1,0,0,0,31427008000,29012,5296
1,29,107,0,0,0,0,0,0,2,2,2,2,35234012000,29012,5275.96
1,29,108,0,0,0,0,0,0,2,0,0,0,35234012000,29012,5275.96
1,29,109,0,0,0,0,0,0,2,0,0,0,35234012000,29012,5275.96
1,33,113,0,0,0,0,0,0,0,2,2,2,37101008000,33022,5292
1,33,116,0,0,0,0,0,0,0,0,0,0,37101008000,33022,5292
1,33,118,1,0,0,0,0,0,2,0,0,0,37101008000,33022,5292
1,33,119,0,0,0,0,0,0,2,0,0,2,36201025000,33012,5272
1,33,120,0,0,0,0,0,0,2,2,2,2,36201025000,33012,5272
1,33,121,0,0,0,0,0,0,2,0,0,2,36201025000,33012,5272
1,33,122,2,0,2,2,0,0,2,2,2,2,36201025000,33012,5272
1,33,124,2,0,0,1,0,0,2,0,2,2,36201025000,33012,5272
1,33,125,1,0,2,0,0,1,2,2,0,2,36201025000,33012,5272
1,33,126,0,0,0,0,0,0,2,0,0,0,36201025000,33012,5272
1,33,127,0,0,0,0,0,0,2,2,2,2,36201025000,33012,5272
1,33,128,0,0,0,0,0,0,2,1,1,2,36201025000,33012,5272
1,33,129,0,0,0,0,0,0,0,0,0,0,44809006000,33022,5252
1,33,130,0,0,0,0,0,0,0,0,0,0,44809006000,33022,5252
1,33,133,0,0,0,0,0,0,0,0,0,0,44809006000,33022,5252
1,33,135,0,0,0,0,0,0,0,0,0,0,44809006000,33022,5252
1,33,136,1,0,0,0,0,0,0,0,0,0,44809006000,33022,5252
1,33,139,0,0,0,0,0,0,0,0,0,0,45009013000,33032,5248
1,33,140,1,0,0,1,0,0,1,1,0,0,45009013000,33032,5248
1,33,141,0,0,0,0,0,0,2,2,2,2,45009013000,33032,5248
1,33,142,0,0,0,0,0,0,0,0,0,0,45009013000,33032,5248
1,33,143,1,0,0,0,0,0,2,2,0,0,45009013000,33032,5248
1,33,146,0,0,0,0,0,0,2,0,0,0,45009013000,33032,5248
1,33,148,0,0,0,0,0,0,0,0,0,0,49714057004,33012,5280
1,33,149,2,0,0,1,0,0,1,2,0,2,49714057004,33012,5280
1,33,150,0,0,0,0,0,0,2,2,0,0,49714057004,33012,5280
1,33,151,2,0,2,0,0,0,2,2,2,2,49714057004,33012,5280
1,33,152,2,0,0,0,0,0,1,0,0,0,49714057004,33012,5280
1,33,155,2,0,1,0,0,0,1,1,1,2,54319011000,33032,5232
1,33,156,0,0,0,0,0,0,0,0,0,0,54319011000,33032,5232
1,33,157,2,0,2,2,2,1,1,1,1,1,54319011000,33032,5232
1,33,158,0,0,0,0,0,0,1,2,2,1,54319011000,33032,5232
1,33,159,0,0,0,0,0,0,2,2,2,2,54319011000,33032,5232
1,33,160,0,0,0,0,0,0,0,0,0,0,54319011000,33032,5232
1,33,161,2,0,2,2,0,2,2,2,2,2,54319011000,33032,5232
1,33,162,0,0,0,0,0,0,0,0,0,0,54319011000,33032,5232
1,55,165,1,0,0,0,0,0,0,2,2,2,58003031001,55052,5259.96
1,55,166,0,0,0,0,0,0,2,2,2,2,58003031001,55052,5259.96
1,55,167,0,0,0,0,0,0,2,2,0,0,58003031001,55052,5259.96
1,55,170,1,0,0,1,0,0,2,2,1,2,58003031001,55052,5259.96
1,55,172,0,0,0,0,0,0,2,2,0,1,58003031001,55052,5259.96
1,55,173,0,0,0,0,0,0,1,1,1,1,58003031001,55052,5259.96
1,55,174,0,0,0,0,0,0,1,1,1,1,58003031001,55052,5259.96
1,55,176,1,1,1,1,1,1,1,1,1,1,58003031001,55052,5259.96
1,55,178,1,1,1,1,1,1,1,1,1,1,58003031001,55052,5259.96
1,55,179,0,0,0,0,0,0,1,1,1,1,58003031001,55052,5259.96
1,55,182,0,0,0,0,0,0,2,2,0,0,59604020000,55072,5272
1,55,183,0,0,0,0,0,0,0,0,0,0,59604020000,55072,5272
1,55,185,0,0,0,0,0,0,0,0,0,0,59604020000,55072,5272
1,55,187,0,0,0,0,0,0,2,2,2,2,59604020000,55072,5272
1,55,190,2,0,0,0,0,0,1,1,2,1,59604020000,55072,5272
1,55,192,0,0,2,0,0,2,1,1,1,1,63508018000,55092,5244
1,55,195,0,0,0,0,0,0,2,2,2,2,63508018000,55092,5244
1,55,196,0,0,0,0,0,0,2,2,2,2,63508018000,55092,5244
1,55,197,0,0,0,0,0,0,1,1,0,0,63508018000,55092,5244
1,55,198,0,0,0,0,0,0,1,1,2,2,63508018000,55092,5244
1,55,203,0,0,0,0,0,0,2,0,0,0,65410012000,55082,5275.96
1,55,204,1,1,0,0,0,1,0,0,0,2,65410012000,55082,5275.96
1,55,205,2,0,1,2,1,1,1,1,1,1,65410012000,55082,5275.96
1,55,206,0,0,0,0,0,0,0,0,0,0,67111064000,55102,5271.96
1,55,207,1,0,1,0,0,1,2,2,2,2,67111064000,55102,5271.96
1,55,211,0,0,0,0,0,0,0,0,0,0,67111064000,55102,5271.96
1,55,213,1,1,1,1,1,1,2,2,2,1,67111064000,55102,5271.96
1,55,214,0,0,0,0,0,0,2,2,1,1,67111064000,55102,5271.96
1,55,216,0,0,0,0,0,0,2,2,2,2,67111064000,55102,5271.96
1,55,218,0,0,0,0,0,0,2,2,2,2,72514006000,55102,5256
1,55,219,0,0,0,0,0,0,1,1,0,0,72514006000,55102,5256
1,55,220,0,0,0,0,0,0,2,2,2,2,72514006000,55102,5256
1,55,221,0,0,0,0,0,0,1,0,0,0,72514006000,55102,5256
1,55,223,0,0,0,0,0,0,1,1,1,1,72514006000,55102,5256
1,55,226,0,0,0,0,0,0,1,1,1,1,72814013001,55102,5259.96
1,55,227,1,0,1,1,0,1,2,2,2,2,72814013001,55102,5259.96
1,55,228,0,0,0,0,0,0,1,1,0,0,72814013001,55102,5259.96
1,55,229,2,0,2,2,0,2,1,1,1,1,72814013001,55102,5259.96
1,55,231,0,0,0,0,0,0,2,2,2,2,72814013001,55102,5259.96
1,55,232,0,0,0,0,0,0,1,0,0,0,72814013001,55102,5259.96
1,55,235,2,0,1,2,0,1,2,2,2,2,72814013001,55102,5259.96
1,55,237,0,0,0,0,0,0,1,1,0,0,72814013001,55102,5259.96
1,55,238,1,1,1,0,0,0,2,2,2,2,72814013001,55102,5259.96
1,55,239,0,0,0,0,0,0,2,0,0,0,72814013001,55102,5259.96
1,55,240,0,0,0,0,0,0,2,2,2,2,72814013001,55102,5259.96
1,55,243,0,0,0,0,0,0,1,0,0,0,72014030000,55042,5272
1,55,244,0,0,0,0,0,0,2,0,0,0,72014030000,55042,5272
1,55,245,0,0,0,0,0,0,2,2,2,2,72014030000,55042,5272
1,55,246,2,1,1,2,1,1,1,1,1,1,72014030000,55042,5272
1,55,247,0,0,1,0,0,1,1,1,1,1,72014030000,55042,5272
1,55,249,0,0,0,0,0,0,2,2,2,2,72014030000,55042,5272
1,55,252,2,1,1,2,1,1,2,1,2,2,72014030000,55042,5272
1,55,257,0,0,0,0,0,0,0,0,2,0,78118018001,55012,5276
1,55,260,0,0,0,0,0,0,0,1,0,0,78118018001,55012,5276
1,55,266,0,0,0,0,0,0,1,0,0,0,82522021002,55032,5263.96
1,55,267,0,0,0,0,0,0,0,0,0,0,82522021002,55032,5263.96
1,55,268,0,0,0,0,0,0,0,0,0,0,82522021002,55032,5263.96
1,55,269,1,1,1,1,1,1,2,2,2,2,82522021002,55032,5263.96
1,55,270,0,0,0,0,0,0,2,2,2,2,82522021002,55032,5263.96
1,55,271,0,0,0,0,0,0,2,0,0,0,82522021002,55032,5263.96
1,55,272,0,0,0,0,0,0,2,0,0,0,82522021002,55032,5263.96
1,55,273,0,0,0,0,0,0,0,0,0,0,82522021002,55032,5263.96
1,55,275,0,0,0,0,0,0,0,0,0,0,82822033001,55022,5240
1,55,277,0,0,0,0,0,0,2,0,0,0,82822033001,55022,5240
1,55,281,0,0,0,0,0,0,2,2,2,2,82822033001,55022,5240
1,55,285,0,0,0,0,0,0,0,0,0,0,85124004000,55072,5259.96
1,55,288,1,1,0,0,0,0,1,1,0,0,85124004000,55072,5259.96
1,55,291,0,0,0,0,0,0,0,0,0,2,85124004000,55072,5259.96
1,55,293,0,0,0,0,0,0,2,1,1,1,85124004000,55072,5259.96
1,55,294,0,0,0,0,0,0,0,0,0,0,85124004000,55072,5259.96
1,55,295,0,0,2,2,2,2,2,1,1,1,85124004000,55072,5259.96
1,55,297,0,0,2,0,0,0,2,2,2,2,84024072000,55092,5272
1,55,300,0,0,0,0,0,0,0,0,0,0,84024072000,55092,5272
1,55,301,1,0,0,0,0,0,2,2,2,2,84024072000,55092,5272
1,55,302,1,1,1,0,0,0,1,1,2,1,84024072000,55092,5272
1,55,303,0,0,0,0,0,0,0,0,0,0,84024072000,55092,5272
1,55,305,0,0,0,0,0,0,0,0,0,0,84024072000,55092,5272
1,55,306,2,0,1,0,0,0,1,2,2,2,84024072000,55092,5272
1,55,307,0,0,2,0,0,0,2,2,2,2,84024072000,55092,5272
1,55,311,0,0,0,0,0,0,2,1,2,1,94730034000,55042,5271.96
