regcode,provcode,hhnum,dweltype,tenurhws,tenurlot,roof,wall,floor,bedroom,outroom,electrct,wdrinkng,toilet,collect,burn,composting,dump,psurec,strrec,wgts
1,28,1,1,3,3,1,1,7,4,1,1,6,1,0,1,1,0,1703035000,28022,2636
1,28,2,1,3,3,4,5,6,2,0,1,6,1,0,0,0,1,1703035000,28022,2636
1,28,3,1,3,3,1,1,1,2,1,1,6,0,0,1,0,1,1703035000,28022,2636
1,28,4,1,1,1,1,1,6,3,1,1,7,1,0,1,0,0,1703035000,28022,2636
1,28,5,1,1,3,2,2,1,0,9,1,4,2,0,1,0,0,1703035000,28022,2636
1,28,6,1,3,3,1,1,8,3,0,1,3,1,0,1,0,0,1703035000,28022,2636
1,28,7,1,1,3,2,2,1,0,9,0,6,2,0,1,0,0,1703035000,28022,2636
1,28,8,1,3,3,1,1,6,3,0,1,6,1,0,1,1,0,1703035000,28022,2636
1,28,10,1,1,1,2,2,1,1,0,1,3,1,0,1,0,0,1703035000,28022,2636
1,28,12,1,1,3,1,1,8,1,0,1,8,1,0,0,0,1,2104006000,28012,2625.98
1,28,13,1,1,1,1,1,8,2,0,1,8,1,0,1,1,0,2104006000,28012,2625.98
1,28,14,1,1,3,2,2,1,2,0,0,8,1,0,1,1,0,2104006000,28012,2625.98
1,28,15,1,1,3,1,1,8,2,1,1,8,1,0,1,1,0,2104006000,28012,2625.98
1,28,17,1,1,1,1,4,6,2,0,1,8,1,0,1,0,1,2104006000,28012,2625.98
1,28,18,1,1,1,4,1,8,3,1,1,8,1,0,1,1,0,2104006000,28012,2625.98
1,28,19,1,3,3,1,1,8,2,0,1,8,1,0,1,0,1,2104006000,28012,2625.98
1,28,20,1,1,1,1,1,7,2,0,1,8,1,0,1,1,0,2104006000,28012,2625.98
1,28,22,1,1,3,2,2,1,0,9,0,8,0,0,0,0,1,2104006000,28012,2625.98
1,28,24,1,1,3,1,1,8,2,0,0,3,1,0,1,0,0,5209025000,28022,2641.98
1,28,25,1,1,4,4,4,8,2,1,1,1,1,1,0,0,1,5209025000,28022,2641.98
1,28,26,1,1,1,1,1,8,2,0,1,4,1,0,0,0,1,5209025000,28022,2641.98
1,28,28,1,1,3,1,1,8,2,0,1,3,1,0,1,0,0,5209025000,28022,2641.98
1,28,29,1,1,1,1,1,8,2,0,1,3,1,0,1,0,1,5209025000,28022,2641.98
1,28,30,1,1,1,1,1,8,1,1,1,3,1,0,1,0,0,5209025000,28022,2641.98
1,28,31,1,3,3,1,1,8,0,9,0,3,1,0,0,0,1,5209025000,28022,2641.98
1,28,32,1,1,1,1,1,8,0,9,1,3,1,0,1,0,1,5209025000,28022,2641.98
1,28,33,1,1,1,1,1,8,3,0,1,1,1,0,0,0,1,11317014000,28012,2633.98
1,28,34,1,1,3,2,2,1,0,9,1,7,0,0,1,0,0,11317014000,28012,2633.98
1,28,36,1,1,1,1,1,8,3,0,1,7,1,0,1,1,0,11317014000,28012,2633.98
1,28,38,1,3,3,2,2,1,0,9,0,8,2,0,1,1,0,11317014000,28012,2633.98
1,28,39,1,1,2,2,2,8,0,9,0,8,2,0,1,1,0,11317014000,28012,2633.98
1,28,40,1,1,2,1,1,1,2,0,1,8,1,0,1,1,0,11317014000,28012,2633.98
