regcode,provcode,hhnum,member_code,age,sex,csc,psc,rhc,educ,occup,wrkpl
1,28,1,01,36.049282,1,,99,1,10,6,1
1,28,1,02,36.772076,2,,0,2,10,10,9
1,28,1,03,11.017112,2,1,0,4,4,14,9
1,28,1,04,9.0294323,2,1,0,4,2,99,9
1,28,1,05,5.2731009,1,1,99,3,99,99,9
1,28,1,06,2.9267626,1,1,99,3,99,99,9
1,28,1,07,84.413414,2,,0,5,5,0,9
1,28,2,01,46.034222,1,,99,1,11,6,1
1,28,2,02,45.034908,2,,0,2,12,10,9
1,28,2,03,23.509924,2,,0,4,11,14,9
1,28,2,04,20.361397,1,,99,3,11,14,9
1,28,2,05,19.033539,1,,99,3,11,0,9
1,28,2,06,70.425735,2,3,0,5,4,0,9
1,28,3,01,35.088295,1,,99,1,10,6,1
1,28,3,02,38.948666,2,,10,2,12,10,9
1,28,3,03,15.479809,2,,0,4,9,14,9
1,28,3,04,13.557837,2,,0,4,8,14,9
1,28,3,05,11.931554,2,1,0,4,5,14,9
1,28,3,06,10.031486,2,1,0,4,3,14,9
1,28,3,07,6.9431896,2,1,0,4,22,99,9
1,28,3,08,4.0410676,2,1,0,4,99,99,9
1,28,3,09,3.1676934,1,1,99,3,99,99,9
1,28,3,10,.27378508,2,1,0,4,99,99,9
1,28,4,01,37.511295,1,,99,1,12,6,1
1,28,4,02,40.67625,2,,12,2,14,10,9
1,28,4,03,9.6810408,2,1,0,4,3,99,9
1,28,4,04,8.019165,1,1,99,3,1,99,9
1,28,4,05,4.7693362,2,1,0,4,99,99,9
1,28,4,06,1.779603,2,1,0,4,99,99,9
1,28,5,01,23.638603,1,,99,1,6,6,1
1,28,5,02,22.132786,2,,0,2,10,10,9
1,28,5,03,2.5160849,1,1,99,3,99,99,9
1,28,6,01,35.408623,1,,99,1,12,6,1
1,28,6,02,32.517452,2,,0,2,11,10,9
1,28,6,03,11.895962,1,1,99,3,6,14,9
1,28,6,04,9.804244,1,1,99,3,2,99,9
1,28,6,05,8.2299795,2,1,0,4,2,99,9
1,28,6,06,3.0390143,1,1,99,3,99,99,9
1,28,7,01,29.377138,1,2,99,1,5,6,1
1,28,7,02,22.882957,2,2,0,2,8,10,9
1,28,7,03,2.9623547,2,1,0,4,99,99,9
1,28,8,01,50.899384,1,2,99,1,5,6,1
1,28,8,02,34.327171,2,2,0,2,11,10,9
1,28,8,03,10.836413,2,1,0,4,4,14,9
1,28,8,04,9.2073917,2,1,0,4,2,99,9
1,28,8,05,3.2197125,2,1,0,4,99,99,9
1,28,9,01,65.875427,1,2,99,9,6,0,9
1,28,9,02,65.431892,2,2,0,9,6,0,9
1,28,10,01,25.842573,1,,99,1,7,6,1
1,28,10,02,23.761806,2,,10,2,9,10,9
1,28,10,03,3.1430528,2,1,0,4,99,99,9
1,28,10,04,.0027378509,2,1,0,4,99,99,9
1,28,11,01,26.047913,2,,12,9,13,10,9
1,28,12,01,28.465435,1,,99,1,10,1,1
1,28,12,02,30.168377,2,,12,2,12,5,1
1,28,12,03,2.1984942,1,1,99,3,99,99,9
1,28,13,01,36.717316,1,,99,1,12,8,1
1,28,13,02,36.049282,2,,0,2,12,10,9
1,28,13,03,16.402464,2,,0,4,9,14,9
1,28,13,04,13.875428,2,,0,4,7,14,9
1,28,13,05,8.3586588,2,1,0,4,2,99,9
1,28,14,01,55.512661,1,,99,1,6,9,1
1,28,14,02,56.9911,2,,0,2,5,10,9
1,28,14,03,22.49692,1,,99,3,6,9,1
1,28,15,01,44.005474,1,,99,1,12,1,1
1,28,15,02,43.55373,2,,0,2,12,1,1
1,28,15,03,11.041752,2,1,0,4,4,14,9
1,28,15,04,8.1368923,1,1,99,3,1,99,9
1,28,16,01,70.79261,1,2,99,9,7,0,9
1,28,16,02,67.567421,2,2,0,9,6,0,9
1,28,17,01,37.793293,1,,99,1,10,6,1
1,28,17,02,53.579739,2,,0,2,6,7,1
1,28,17,03,14.732375,1,,99,3,8,0,9
1,28,18,01,37.336071,1,2,99,1,12,6,1
1,28,18,02,35.761806,2,2,0,2,13,10,9
1,28,18,03,15.394935,2,,0,4,8,14,9
1,28,18,04,3.5838466,2,1,0,4,99,99,9
1,28,19,01,29.472963,1,2,99,1,10,6,1
1,28,19,02,28.651609,2,2,6,2,12,10,9
1,28,19,03,7.6413417,2,1,0,4,1,99,9
1,28,20,01,92.799454,2,,0,1,6,0,9
1,28,20,02,66.130051,2,,0,4,6,9,1
1,28,20,03,64.271049,2,1,0,4,5,9,1
1,28,20,04,9.1060915,2,1,0,5,2,99,9
1,28,21,01,72.120468,1,2,99,9,10,6,8
1,28,21,02,64.175224,2,2,0,9,7,10,9
1,28,21,03,35.214237,2,,10,9,10,10,9
1,28,22,01,34.565365,1,,99,1,2,9,1
1,28,22,02,27.47707,2,,0,2,1,10,9
1,28,22,03,11.474333,2,1,0,4,1,14,9
1,28,22,04,10.097194,1,1,99,3,22,0,9
1,28,22,05,8.8377819,1,1,99,3,22,99,9
1,28,22,06,5.8343601,1,1,99,3,99,99,9
1,28,22,07,4.3093772,1,1,99,3,99,99,9
1,28,23,01,26.781656,2,,5,9,12,10,9
1,28,23,05,81.39904,1,3,99,9,6,0,9
1,28,24,01,33.130733,1,2,99,1,6,6,1
1,28,24,02,31.937029,2,2,0,2,12,1,1
1,28,24,03,11.852156,1,1,99,3,6,14,9
1,28,24,04,10.261465,1,1,99,3,4,14,9
1,28,24,05,1.1882273,2,1,0,4,99,99,9
1,28,25,01,45.059547,1,,99,1,10,6,1
1,28,25,02,43.025326,2,,0,2,12,1,1
1,28,25,03,11.189596,1,1,99,3,4,14,9
1,28,25,04,10.403833,2,1,0,4,4,14,9
