regcode,provcode,hhnum,FDSEC01_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC10_RC,FDSEC11_RC,ST1MAIS_RC,ST1ROOTS_RC,ST1OTHER_RC,STRATG02_RC,STRATG03_RC,STRATG04_RC,STRATG05_RC,STRATG06_RC,STRATG07_RC,STRATG08_RC,STRATG09_RC,STRATG10_RC,STRATG11_RC,STRATG12_RC,STRATG13_RC,STRATG14_RC,STRATG15_RC,STRATG16_RC,psurec,strrec,wgts
0,1,27236,1,0,0,0,0,0,2,2,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1508501001000,01012,276.5
0,1,27237,1,0,0,1,0,0,2,2,2,2,0,0,0,0,4,3,0,0,0,0,0,0,0,2,2,2,0,0,0,1508501001000,01012,276.5
0,1,27238,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508501001000,01012,276.5
0,1,27241,0,0,0,0,0,0,2,2,2,2,0,0,0,0,3,3,0,3,0,3,0,0,0,2,2,0,0,0,0,1508501001000,01012,276.5
0,1,27244,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,1508501001000,01012,276.5
0,1,27245,0,0,0,9,9,9,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1508501001000,01012,276.5
0,1,27247,0,0,0,9,9,9,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1508501001000,01012,276.5
0,1,27250,2,0,0,2,0,0,2,2,2,2,2,0,0,0,3,0,0,3,3,3,0,0,0,2,2,0,0,2,0,1508501001000,01012,276.5
0,1,27251,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,1508501001000,01012,276.5
0,1,27252,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1508501001000,01012,276.5
