regcode,provcode,hhnum,topogrpy,dweltype,tenurhws,tenurlot,roof,wall,floor,bedroom,outroom,electrct,wdrinkng,storewtr,toilet,collect,burn,composting,dump,segregate,psurec,strrec,wgts
0,1,27233,5,1,3,3,2,1,8,2,0,1,1,3,2,0,1,1,0,1,1508501001000,1012,144.64
0,1,27234,5,1,1,1,2,1,8,3,0,1,1,3,1,0,1,1,0,1,1508501001000,1012,144.64
0,1,27235,5,1,1,3,2,2,1,1,0,1,3,0,2,0,0,1,0,1,1508501001000,1012,144.64
0,1,27236,5,1,3,3,2,1,8,1,1,1,1,0,1,0,1,0,0,1,1508501001000,1012,144.64
0,1,27237,5,1,1,1,2,2,3,0,9,0,2,0,2,0,1,1,0,1,1508501001000,1012,144.64
0,1,27238,5,1,3,3,2,2,3,0,9,0,2,0,2,0,1,1,0,1,1508501001000,1012,144.64
0,1,27239,5,1,1,1,2,1,8,3,0,1,1,3,1,0,1,1,0,1,1508501001000,1012,144.64
0,1,27240,5,1,1,1,2,2,2,0,9,1,1,0,1,0,1,0,0,0,1508501001000,1012,144.64
0,1,27241,5,1,1,1,2,3,8,2,1,1,2,3,1,0,1,1,0,1,1508501001000,1012,144.64
0,1,27242,5,1,1,1,2,1,8,2,0,1,1,0,1,0,1,0,0,0,1508501001000,1012,144.64
0,1,27243,5,1,1,1,2,1,8,0,9,1,1,0,1,0,1,0,0,0,1508501001000,1012,144.64
0,1,27244,5,1,3,3,2,1,8,3,1,1,1,1,1,0,1,1,0,1,1508501001000,1012,144.64
0,1,27245,5,1,1,1,2,2,3,1,1,1,1,1,1,0,1,1,0,0,1508501001000,1012,144.64
0,1,27246,5,1,1,1,2,1,8,3,0,1,1,3,1,0,1,1,0,0,1508501001000,1012,144.64
0,1,27247,5,1,1,1,2,1,8,0,9,1,1,3,1,0,1,0,0,0,1508501001000,1012,144.64
0,1,27248,5,1,1,3,2,1,8,2,1,1,1,0,1,0,1,0,0,0,1508501001000,1012,144.64
0,1,27249,5,1,1,3,2,2,3,1,1,0,6,3,2,0,1,0,0,1,1508501001000,1012,144.64
0,1,27250,5,1,1,2,1,2,3,1,0,0,2,1,2,0,1,1,0,0,1508501001000,1012,144.64
0,1,27251,5,1,1,1,2,1,8,2,0,1,1,1,1,0,1,1,0,0,1508501001000,1012,144.64
0,1,27252,5,1,2,1,2,2,3,2,0,0,1,3,2,0,1,0,0,1,1508501001000,1012,144.64
0,1,27253,14,1,1,1,2,1,8,2,0,1,1,0,1,1,1,0,0,1,1509101002000,1012,139.35
0,1,27254,14,1,1,1,2,2,3,0,9,1,3,3,2,0,1,1,0,0,1509101002000,1012,139.35
0,1,27255,14,1,1,1,2,2,3,0,9,0,3,3,1,0,1,0,1,1,1509101002000,1012,139.35
0,1,27256,14,1,1,3,6,1,8,0,9,1,3,0,1,0,1,0,0,0,1509101002000,1012,139.35
0,1,27257,14,1,3,3,2,2,8,1,0,0,1,3,1,0,1,1,0,1,1509101002000,1012,139.35
0,1,27258,14,1,1,1,2,2,3,1,1,1,1,3,1,0,1,0,1,0,1509101002000,1012,139.35
0,1,27259,14,1,1,1,2,1,8,2,0,1,1,0,1,0,1,0,1,0,1509101002000,1012,139.35
0,1,27260,14,1,1,1,2,1,8,0,9,1,3,0,1,0,1,0,0,1,1509101002000,1012,139.35
0,1,27261,14,1,1,1,2,2,3,0,9,0,4,1,1,0,1,1,0,1,1509101002000,1012,139.35
0,1,27262,14,1,1,1,2,1,8,3,0,1,1,0,1,1,1,0,0,1,1509101002000,1012,139.35
0,1,27263,14,1,1,1,2,1,8,2,0,1,3,3,1,1,1,0,0,1,1509101002000,1012,139.35
0,1,27264,14,1,1,1,4,1,8,5,0,1,11,3,1,1,1,0,0,1,1509101002000,1012,139.35
0,1,27265,14,1,1,1,2,2,8,2,0,1,1,3,1,1,1,0,0,1,1509101002000,1012,139.35
0,1,27266,14,1,1,3,2,1,8,3,0,1,11,3,1,0,1,0,0,1,1509101002000,1012,139.35
0,1,27267,14,1,1,1,2,3,9,3,0,1,1,0,1,0,1,1,0,1,1509101002000,1012,139.35
0,1,27268,5,1,1,3,2,1,8,3,0,1,4,0,1,1,0,0,0,1,1509401025000,1012,138.25
0,1,27269,5,1,1,1,2,1,9,3,0,1,3,1,1,1,0,1,0,0,1509401025000,1012,138.25
0,1,27270,5,1,1,3,2,1,8,1,0,1,1,0,1,1,0,0,0,0,1509401025000,1012,138.25
0,1,27271,5,1,1,3,2,1,8,1,0,1,1,0,1,1,0,0,0,1,1509401025000,1012,138.25
0,1,27272,5,1,3,3,2,1,8,7,0,1,1,3,1,1,0,0,0,1,1509401025000,1012,138.25
0,1,27273,5,2,1,1,2,3,6,7,0,1,11,3,1,1,1,0,0,0,1509401025000,1012,138.25
0,1,27274,5,1,1,3,2,1,6,5,1,1,11,3,1,1,1,0,0,1,1509401025000,1012,138.25
0,1,27275,5,4,1,1,2,1,8,3,0,1,11,0,1,1,0,0,0,1,1509401025000,1012,138.25
0,1,27276,5,1,3,3,2,3,9,3,0,1,11,1,1,1,0,0,0,0,1509401025000,1012,138.25
0,1,27277,5,1,1,3,2,1,8,4,0,1,1,0,1,1,0,0,0,0,1509401025000,1012,138.25
0,1,27278,5,1,1,1,2,1,8,5,0,1,1,0,1,1,1,1,0,1,1509701030002,1012,187.51
0,1,27279,5,1,2,2,2,1,8,5,0,1,11,0,1,1,0,0,0,1,1509701030002,1012,187.51
0,1,27280,5,1,1,1,2,3,8,4,0,1,1,0,1,1,0,0,0,0,1509701030002,1012,187.51
0,1,27281,5,1,1,3,1,1,8,2,1,1,1,1,1,1,0,0,0,1,1509701030002,1012,187.51
0,1,27282,5,1,2,2,2,3,8,3,1,1,1,3,1,1,1,1,0,1,1509701030002,1012,187.51
0,1,27283,5,1,3,3,2,2,3,1,0,1,3,0,1,0,1,0,0,1,1509701030002,1012,187.51
0,1,27284,5,1,3,3,2,1,8,2,1,1,1,0,1,1,1,0,0,0,1509701030002,1012,187.51
0,1,27285,5,1,3,3,2,2,8,3,1,0,1,0,1,0,1,1,1,1,1509701030002,1012,187.51
0,1,27286,5,1,1,1,2,1,8,2,1,1,3,1,1,0,1,0,0,1,1509701030002,1012,187.51
0,1,27287,5,1,1,1,2,1,8,2,0,1,1,3,1,1,1,0,0,1,1509701030002,1012,187.51
0,1,27288,5,1,1,3,2,1,8,2,0,1,1,0,1,1,0,0,1,0,1509701030002,1012,187.51
0,1,27289,5,1,3,3,4,1,6,0,9,1,11,3,1,1,0,0,1,1,1509701030002,1012,187.51
0,1,27290,11,1,1,3,2,3,1,0,9,0,4,3,0,0,1,0,0,1,1510103011000,1022,136.75
0,1,27291,11,1,1,3,2,2,1,1,1,0,4,3,2,0,1,0,0,0,1510103011000,1022,136.75
0,1,27292,11,1,1,1,1,2,2,1,1,1,3,3,2,0,1,1,0,1,1510103011000,1022,136.75
0,1,27293,11,1,1,1,2,1,8,4,0,1,3,0,1,0,1,0,0,1,1510103011000,1022,136.75
0,1,27294,11,1,1,3,2,1,8,3,1,1,2,3,1,0,1,0,0,1,1510103011000,1022,136.75
0,1,27295,11,1,1,1,2,1,6,4,0,1,5,3,1,0,1,1,0,1,1510103011000,1022,136.75
0,1,27296,11,1,1,3,2,2,3,1,1,1,4,0,1,0,1,1,0,1,1510103011000,1022,136.75
0,1,27297,11,1,1,1,2,1,8,2,0,1,2,3,2,0,0,1,0,1,1510103011000,1022,136.75
0,1,27298,11,1,1,3,2,2,3,0,9,0,4,0,0,0,0,1,0,1,1510103011000,1022,136.75
0,1,27299,11,1,1,1,2,2,9,4,0,1,10,3,1,0,1,1,0,1,1510103011000,1022,136.75
0,1,27300,11,1,1,3,2,2,1,2,1,1,2,3,1,0,1,1,0,1,1510103011000,1022,136.75
0,1,27301,11,1,1,3,2,2,1,0,9,0,3,3,2,0,1,1,0,0,1510103011000,1022,136.75
0,1,27302,11,1,1,3,2,2,3,0,9,0,4,3,0,0,1,0,0,0,1510103011000,1022,136.75
0,1,27303,11,1,1,1,2,2,3,2,1,1,1,3,2,0,0,1,0,1,1510103011000,1022,136.75
0,1,27304,14,1,1,3,2,1,8,0,9,0,3,3,0,0,1,1,0,1,1510908003000,1012,186.16
0,1,27305,14,1,1,1,2,2,8,0,9,1,3,1,1,0,1,1,0,1,1510908003000,1012,186.16
0,1,27306,14,1,1,1,2,1,8,3,1,1,3,0,1,0,1,1,0,0,1510908003000,1012,186.16
0,1,27307,14,1,1,1,2,1,8,3,1,1,3,0,1,0,1,1,0,1,1510908003000,1012,186.16
0,1,27308,14,1,1,1,2,1,8,3,1,1,3,3,2,0,1,0,0,0,1510908003000,1012,186.16
0,1,27309,14,1,1,1,2,1,8,2,1,1,3,3,1,0,1,0,0,0,1510908003000,1012,186.16
