STRATG09_RC,ST1ROOTS_RC,STRATG02_RC,STRATG03_RC,STRATG04_RC,STRATG05_RC,STRATG06_RC,STRATG07_RC,STRATG08_RC,ST1OTHER_RC,STRATG10_RC,STRATG11_RC,STRATG12_RC,STRATG13_RC,STRATG14_RC,STRATG15_RC,STRATG16_RC,strcode,FDSEC10_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC01_RC,FDSEC11_RC,finalwgts,hhnum,provcode,psucode,regcode,ST1MAIS_RC
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.0289,1,28,0001002034000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28022,0,0,0,0,0,0,0,0,0,0,0,351.1555,101,28,0004408004000,1,9
0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,28022,0,0,0,0,0,0,2,2,0,0,0,351.1555,102,28,0004408004000,1,0
0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,28022,0,0,0,0,0,0,2,2,0,0,0,351.1555,106,28,0004408004000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.0289,11,28,0001002034000,1,9
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,28012,0,0,0,0,0,0,1,0,0,0,0,364.6666,110,28,0005509004000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,364.6666,112,28,0005509004000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,364.6666,114,28,0005509004000,1,9
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,28012,0,0,0,0,0,0,2,0,0,0,0,364.6666,115,28,0005509004000,1,0
0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,28012,0,0,0,0,0,0,1,2,0,0,0,364.6666,118,28,0005509004000,1,0
1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,28012,2,1,0,1,0,1,2,2,2,0,1,364.6666,119,28,0005509004000,1,1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.0289,12,28,0001002034000,1,9
0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,28012,2,0,1,1,0,0,2,1,2,1,1,364.6666,121,28,0005509004000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.8264,126,28,0005709016000,1,9
0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,28012,2,0,0,0,0,0,1,1,2,0,1,349.8264,130,28,0005709016000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.8264,132,28,0005709016000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.8264,133,28,0005709016000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.8264,134,28,0005709016000,1,9
0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,28012,1,0,1,0,0,0,1,0,0,1,0,349.8264,136,28,0005709016000,1,0
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,28012,0,0,0,0,0,0,2,0,0,0,0,349.8264,137,28,0005709016000,1,0
0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,28012,1,0,0,0,0,0,1,1,1,0,0,349.0289,14,28,0001002034000,1,0
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,28022,0,0,0,0,0,0,2,1,0,0,0,380.741,148,28,0005209025000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.0289,15,28,0001002034000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,353.6331,150,28,0006712030000,1,9
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28012,0,0,0,0,0,0,1,1,0,0,0,353.6331,152,28,0006712030000,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,28012,0,0,0,0,0,0,2,2,0,0,0,353.6331,153,28,0006712030000,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,28012,0,0,0,0,0,0,2,2,0,0,0,353.6331,155,28,0006712030000,1,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28012,0,0,0,0,0,0,1,1,0,0,0,353.6331,157,28,0006712030000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.0289,16,28,0001002034000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,353.6331,160,28,0006712030000,1,9
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28012,0,0,0,0,0,0,2,2,0,0,0,353.6331,161,28,0006712030000,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28012,0,0,0,0,0,0,1,1,0,0,0,353.6331,162,28,0006712030000,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,28012,0,0,0,0,0,0,2,2,0,0,0,353.6331,163,28,0006712030000,1,0
0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,28012,1,0,1,1,0,1,1,1,1,1,1,353.6331,165,28,0006712030000,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,28012,0,0,0,0,0,0,2,2,0,0,0,353.6331,166,28,0006712030000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,352.559,169,28,0008512041000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,349.0289,17,28,0001002034000,1,9
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,28012,1,0,0,0,0,0,1,1,1,0,0,352.559,170,28,0008512041000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,352.559,174,28,0008512041000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,352.559,177,28,0008512041000,1,9
0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,28012,2,0,0,0,0,0,1,2,2,0,0,352.559,178,28,0008512041000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,352.559,179,28,0008512041000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,363.559,181,28,0009212059000,1,9
0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,28012,0,0,1,0,0,0,2,0,0,1,0,363.559,183,28,0009212059000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,363.559,184,28,0009212059000,1,9
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28012,0,0,0,0,0,0,1,0,0,0,0,363.559,186,28,0009212059000,1,0
0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,28012,0,0,0,0,0,0,1,2,2,0,0,363.559,188,28,0009212059000,1,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,363.559,189,28,0009212059000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,353.3645,19,28,0002003020000,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28012,0,0,0,0,0,0,0,0,0,0,0,363.559,190,28,0009212059000,1,9
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28022,0,0,0,0,0,0,1,1,0,0,0,365.7741,195,28,0009915004000,1,0
