makesafe,wdrinking,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fuelused,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
9,14,1,1,3,3,28012,0,1,2,1,0001002034000,28,3,1,2,6,349.0289,1,3,0,9,0,1,0
99,1,1,1,3,3,28012,0,1,2,1,0001002034000,28,5,10,2,6,349.0289,1,1,0,0,0,1,0
99,4,1,1,1,1,28022,0,0,2,1,0004408004000,28,1,100,6,8,351.1555,1,1,1,0,0,0,0
2,4,1,1,1,1,28022,0,0,2,1,0004408004000,28,2,101,6,8,351.1555,1,1,0,1,1,0,1
99,7,1,1,1,1,28022,0,0,2,1,0004408004000,28,1,102,6,8,351.1555,1,1,1,0,0,0,1
9,14,2,1,3,1,28022,1,0,1,1,0004408004000,28,1,103,6,8,351.1555,4,1,0,9,1,0,1
9,14,1,1,1,1,28022,0,0,1,1,0004408004000,28,1,104,5,8,351.1555,1,1,0,9,1,0,1
99,4,2,1,1,1,28022,0,0,2,1,0004408004000,28,0,105,6,3,351.1555,1,1,0,0,0,0,1
1,4,2,1,3,1,28022,0,1,2,1,0004408004000,28,1,106,6,3,351.1555,1,1,0,1,1,0,1
99,6,3,1,1,1,28022,0,0,2,1,0004408004000,28,2,107,6,8,351.1555,0,1,0,0,1,0,0
99,6,2,1,1,1,28022,0,1,1,1,0004408004000,28,1,108,6,3,351.1555,1,1,0,0,1,0,0
99,1,1,0,1,1,28012,9,1,2,1,0005509004000,28,6,109,2,8,364.6666,1,1,0,0,1,0,1
9,14,1,1,3,3,28012,1,1,1,1,0001002034000,28,1,11,5,8,349.0289,1,1,0,9,0,1,1
2,5,2,1,1,1,28012,0,0,2,1,0005509004000,28,1,110,6,3,364.6666,1,1,0,1,1,0,1
99,6,3,1,3,3,28012,0,1,2,1,0005509004000,28,2,111,6,8,364.6666,1,1,0,0,1,0,1
99,1,1,1,3,1,28012,0,0,2,1,0005509004000,28,3,112,6,8,364.6666,1,1,1,0,0,0,0
9,14,1,2,1,1,28012,0,0,2,1,0005509004000,28,2,113,5,8,364.6666,1,1,0,9,1,0,1
99,6,1,1,3,1,28012,1,0,2,1,0005509004000,28,1,114,6,8,364.6666,1,1,0,0,1,0,0
99,2,1,1,3,1,28012,1,0,2,1,0005509004000,28,1,115,6,8,364.6666,4,1,0,0,0,0,1
9,14,1,1,1,1,28012,0,1,2,1,0005509004000,28,4,116,2,6,364.6666,1,1,0,9,1,0,1
99,5,2,1,1,1,28012,0,1,2,1,0005509004000,28,1,117,6,1,364.6666,1,1,0,0,0,0,1
99,8,1,1,3,1,28012,0,0,2,1,0005509004000,28,1,118,6,8,364.6666,1,1,0,0,0,0,1
99,1,1,1,3,3,28012,0,1,2,1,0005509004000,28,1,119,6,8,364.6666,1,1,0,0,1,0,0
1,1,1,1,3,3,28012,0,1,2,1,0001002034000,28,4,12,2,8,349.0289,1,1,0,1,0,1,0
99,1,1,1,1,1,28012,0,0,2,1,0005509004000,28,3,120,2,8,364.6666,1,1,0,0,1,0,1
