formno,variable_name,variable_label,var_value,value_label
form12_2011,makesafe,How You Make Water Safer to Drink,1 , Boil
form12_2011,makesafe,How You Make Water Safer to Drink,2 , Add bleach/chlorine
form12_2011,makesafe,How You Make Water Safer to Drink,3 , Use water filter (ceramic, sand, charcoal, etc.)
form12_2011,makesafe,How You Make Water Safer to Drink,4 , Improvised filter (cloth, sponge)
form12_2011,makesafe,How You Make Water Safer to Drink,5 , Solar disinfection
form12_2011,makesafe,How You Make Water Safer to Drink,6 , Let it stand or settle
form12_2011,makesafe,How You Make Water Safer to Drink,7 ,Others
form12_2011,makesafe,How You Make Water Safer to Drink,9 , N/A (if bottled water)
form12_2011,makesafe,How You Make Water Safer to Drink,99,  No treatment
form12_2011,wdrinking,Main Source of Drinking Water  ,1 , Piped into dwelling
form12_2011,wdrinking,Main Source of Drinking Water  ,2 , Piped to yard/plot
form12_2011,wdrinking,Main Source of Drinking Water  ,3 , Public tap/stand pipe
form12_2011,wdrinking,Main Source of Drinking Water  ,4 , Tube well or borehole
form12_2011,wdrinking,Main Source of Drinking Water  ,5 , Protected Dug Well
form12_2011,wdrinking,Main Source of Drinking Water  ,6 , Semi-protected Dug Well
form12_2011,wdrinking,Main Source of Drinking Water  ,7 , Unprotected Dug Well
form12_2011,wdrinking,Main Source of Drinking Water  ,8 , Protected spring
form12_2011,wdrinking,Main Source of Drinking Water  ,9 , Unprotected spring
form12_2011,wdrinking,Main Source of Drinking Water  ,10,  Rainwater
form12_2011,wdrinking,Main Source of Drinking Water  ,11,  Tanker truck
form12_2011,wdrinking,Main Source of Drinking Water  ,12,  Cart with small tank
form12_2011,wdrinking,Main Source of Drinking Water  ,13,  Surface water (river, dam, etc.)
form12_2011,wdrinking,Main Source of Drinking Water  ,14,  Bottled/Mineral water
form12_2011,wdrinking,Main Source of Drinking Water  ,15, Others
form12_2011,wall,Main Material Used for the Wall ,1 , Strong (cement, marble, adobe)
form12_2011,wall,Main Material Used for the Wall ,2 , Light (wood, bamboo, coconut leaves, lawanit, etc.)
form12_2011,wall,Main Material Used for the Wall ,3 , Combination of strong and light
form12_2011,wall,Main Material Used for the Wall ,4 , Salvaged (scrap materials, cartons, used iron sheet)
form12_2011,wall,Main Material Used for the Wall ,5 ,Others
form12_2011,toilet,Type of Toilet Facility   ,0 , No toilet facility (bush, field, river, etc.)
form12_2011,toilet,Type of Toilet Facility   ,1 , Water-sealed (pour/flush with septic tank)
form12_2011,toilet,Type of Toilet Facility   ,2 , Not water-sealed (pour/flush without septic tank, pit latrine with or without slab/open pit)
form12_2011,tenurlot,Tenure Status of the Lot  ,1 ,Own/Being Amortized
form12_2011,tenurlot,Tenure Status of the Lot  ,2 ,Rent
form12_2011,tenurlot,Tenure Status of the Lot  ,3 ,Free (caretaker, owned by parents/relatives, with  owner consent)
form12_2011,tenurlot,Tenure Status of the Lot  ,4 ,Squat (settle in public/private lands w/o permission)
form12_2011,tenurlot,Tenure Status of the Lot  ,5 ,Others
form12_2011,tenurhws,Tenure Status of the Dwelling Unit ,1 , Own
form12_2011,tenurhws,Tenure Status of the Dwelling Unit ,2 , Rent
form12_2011,tenurhws,Tenure Status of the Dwelling Unit ,3 , Free (caretaker, owned by parents/relatives)
