Total_Ener,fg7,fg8,fg9,hhnum,provcode,psurec,regcode,strrec,Total_Calc,Total_CHO,fg6,Total_Fat,Total_Food,Total_Iron,Total_Nia,Total_Prot,Total_Ribo,Total_Thia,Total_VitA,Total_VitC,weight_fact,fg2,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg1,fg20,fg21,fg23,fg24,fg25,fg26,fg27,fg3,fg4,fg5
1439.006,58.96,61.84733,0,1,28,4,1,2,286.1782,229.0342,3.3,34.95739,565.7485,12.35953,15.9762,51.46633,0.78201,1.59102,309.2056,58.0326,375.14286,190.3135,61.84733,78.8,35.86,42.94,117.8677,0,117.8677,0,0,0,223.3135,0,0,0,21.66,10.94,10,0.72,0,33,0
2460.68,0,32.5,0,10,28,4,1,2,479.7038,444.9178,0,27.99857,1129.553,16.88006,32.46141,106.4601,0.93423,0.9021966,1100.717,83.98861,375.14286,303.8667,32.5,34.93333,34.93333,0,579.4446,579.4446,0,0,0,0,441.5751,0,0,6.4,34.7,28.33333,6.366667,0,0,137.7084,0
1092.637,0,34.1902,0,100,28,1,1,7,193.0975,213.6891,0,14.06128,391.3604,5.279853,10.20155,27.65239,0.3591333,0.625365,112.9706,5.650333,330.25,249.2833,34.1902,0,0,0,54.72017,54.72017,0,0,8.333333,0,267.6167,0,0,7.683333,18.81667,0,18.81667,0,0,18.33333,0
2427.846,20.3,357.5316,0,101,28,1,1,7,463.7449,528.9564,10.8,5.21101,1237.19,11.27692,25.08324,65.98741,0.63386,0.92544,111.2209,70.65121,330.25,602.7729,357.5316,0,0,0,157.3856,157.3856,0,0,0,0,602.7729,0,0,0,88.4,2.4,79.9,6.1,0,0,0
1233.281,0,67.8,65.25,102,28,1,1,7,325.896,203.6202,20.25,21.76664,575.236,8.49571,30.87795,55.60931,0.5634429,0.4760979,347.255,26.75112,330.25,189.2194,2.55,0,0,0,246.518,246.518,0,0,0,0,207.7966,0,0,16.28572,16.58571,3,13.58571,0,0,18.5772,0
951.0259,0,292.515,132.331,103,28,1,1,7,245.9209,171.3966,5,19.21338,529.1909,18.41472,8.657433,23.67203,0.512435,0.87257,248.157,41.74249,330.25,137.9808,160.184,0,0,0,8.03231,8.03231,0,0,26.45,0,183.8686,0,0,7.575,5.75,0.075,5.175,0.5,0,45.8878,0
490.3757,0,98.15556,63.61111,104,28,1,1,7,104.1164,76.9435,4.144444,14.92721,218.7479,2.371771,4.219181,11.73072,0.1388333,0.2119667,60.51603,10.64335,330.25,65.72222,34.54445,0,0,0,36.56481,8.167271,28.39754,0,0,0,73.20534,0,0,1.788889,4.888889,2.833333,0.7222222,1.333333,0,7.483111,0
1312.764,0,45.8619,43.8619,105,28,1,1,7,358.8691,234.0056,1.575,20.01471,780.3414,9.274515,18.28782,48.25692,0.4367025,0.42692,312.2981,42.74498,330.25,357.7969,2,50,0,50,287.793,150.3546,0,137.4384,0,17.15625,372.5176,17.15625,0,1.88759,3.55,0.75,2.8,0,0,14.7207,0
1094.142,0.12,29.24,0,106,28,1,1,7,444.1794,167.4855,6.48,24.87841,796.8588,7.63162,14.15615,50.08292,0.572214,0.527562,223.5359,16.04764,330.25,98.73872,29.24,0,0,0,342.8562,254.216,88.64021,0,0,230.885,154.8575,230.885,0,9.76,22.66,8,14.66,0,0,56.1188,0
2000.132,0,127.4973,13.42896,107,28,1,1,7,725.1303,340.6878,4.275,45.16815,1976.611,12.18367,16.82485,58.00897,1.257137,1.182279,492.3086,47.85129,330.25,210.148,114.0683,880.9017,0,880.9017,167.3513,79.50007,87.85125,0,23.7069,251.4961,253.0519,223.7461,27.75,5.7,262.6312,5.86875,20.5125,236.25,0,42.9039,0
1858.376,2.46,133.06,133.06,108,28,1,1,7,385.4412,327.0053,0,37.44369,907.6681,7.479118,15.81571,47.104,0.566202,0.755428,281.0191,73.66438,330.25,331.9394,0,99.18,8.18,91,108.2137,108.2137,0,0,20,16.035,487.5394,16.035,0,23.96,17.22,0.9,10.22,6.1,115.6,40,0
1127.261,25.9,74.71774,13.75,109,28,1,1,7,645.0775,219.521,3.575,6.422762,506.3155,8.672933,19.27049,47.6957,0.4603875,0.58919,192.9466,18.5015,330.25,253.0201,60.96774,0,0,0,138.7527,138.7527,0,0,0,0,253.0201,0,0,2.1,8.25,5.875,2.375,0,0,0,0
1928.378,0,85.61795,43.84921,11,28,4,1,2,562.4092,294.4006,0,54.34315,902.9578,8.721443,17.3933,65.10287,1.15433,0.90052,482.8423,39.15367,375.14286,293.0667,41.76874,0,0,0,303.3025,192.7892,110.5133,0,0,178.9333,322.3373,178.9333,0,2.933333,9.833333,0,9.833333,0,0,29.27067,0
1486.402,0,27.52,24.8,110,28,1,1,7,334.6802,239.5297,5.06,31.8769,618.2547,11.33403,20.38445,60.53465,0.887392,1.02601,556.358,42.01621,330.25,137.2969,2.72,61.06,0,61.06,122.7478,43.00281,14.64256,65.1024,13.22,130.65,223.4169,100.65,30,20.96,13.62,6.18,7.44,0,0,86.12,0
1656.129,4.5,105.38,54.42,111,28,1,1,7,245.1041,206.8645,1.24,59.26383,827.6512,7.74297,27.90792,73.03567,0.74957,1.07838,253.0356,28.73405,330.25,210.9946,50.96,0,0,0,361.2805,160.3179,200.9626,0,36.92,0,224.5907,0,0,22.98,70.75999,62.6,8.16,0,0,13.59616,0
1364.792,10.60714,35.48571,33.04286,112,28,1,1,7,342.7532,238.9211,13.67143,17.79686,774.8769,9.414207,17.9087,61.04976,0.4739979,0.533025,189.7351,43.14498,330.25,225.4501,2.442857,0,0,0,397.6888,397.6888,0,0,30.22993,0,255.8653,0,0,8.957143,22.37143,8.571428,13.8,0,0,30.41518,0
1426.346,0,130.5205,9.571875,113,28,1,1,7,479.9135,277.3307,8.6,12.09634,706.2206,7.908362,19.932,51.82103,0.404025,0.4706475,124.0026,23.89673,330.25,250.663,120.9486,100,0,100,194.2667,89.46172,0,104.805,0,0,263.4334,0,0,0,9.4,5,4.4,0,0,12.77045,0
1293.062,0,162.98,32.98,114,28,1,1,7,376.7506,218.1231,0,28.60218,620.9474,8.615454,13.04901,40.50076,0.543966,0.78321,243.5236,80.10789,330.25,190.76,130,0,0,0,139.1582,95.34007,43.81808,0,0,0,216.7893,0,0,11.18,90.84,90.4,0.44,0,0,26.02928,0
