formno,variable_name,variable_label,var_value,value_label
form5_2013,Total_Ener,Total Energy (Kcal),,
form5_2013,fg7,Dried Beans Nuts and Seeds (in grams),,
form5_2013,fg8,Vegetables (in grams),,
form5_2013,fg9,Green Leafy and Yellow (in grams),,
form5_2013,hhnum,Household Number,,
form5_2013,provcode,Name of Provinces,1,ABRA
form5_2013,provcode,Name of Provinces,2,AGUSAN DEL NORTE
form5_2013,provcode,Name of Provinces,3,AGUSAN DEL SUR
form5_2013,provcode,Name of Provinces,4,AKLAN
form5_2013,provcode,Name of Provinces,5,ALBAY
form5_2013,provcode,Name of Provinces,6,ANTIQUE
form5_2013,provcode,Name of Provinces,7,BASILAN
form5_2013,provcode,Name of Provinces,8,BATAAN
form5_2013,provcode,Name of Provinces,10,BATANGAS
form5_2013,provcode,Name of Provinces,11,BENGUET
form5_2013,provcode,Name of Provinces,12,BOHOL
form5_2013,provcode,Name of Provinces,13,BUKIDNON
form5_2013,provcode,Name of Provinces,14,BULACAN
form5_2013,provcode,Name of Provinces,15,CAGAYAN
form5_2013,provcode,Name of Provinces,16,CAMARINES NORTE
form5_2013,provcode,Name of Provinces,17,CAMARINES SUR
form5_2013,provcode,Name of Provinces,18,CAMIGUIN
form5_2013,provcode,Name of Provinces,19,CAPIZ
form5_2013,provcode,Name of Provinces,20,CATANDUANES
form5_2013,provcode,Name of Provinces,21,CAVITE
form5_2013,provcode,Name of Provinces,22,CEBU
form5_2013,provcode,Name of Provinces,23,DAVAO (DAVAO DEL NORTE)
form5_2013,provcode,Name of Provinces,24,DAVAO DEL SUR
form5_2013,provcode,Name of Provinces,25,DAVAO ORIENTAL
form5_2013,provcode,Name of Provinces,26,EASTERN SAMAR
form5_2013,provcode,Name of Provinces,27,IFUGAO
form5_2013,provcode,Name of Provinces,28,ILOCOS NORTE
form5_2013,provcode,Name of Provinces,29,ILOCOS SUR
form5_2013,provcode,Name of Provinces,30,ILOILO
form5_2013,provcode,Name of Provinces,31,ISABELA
form5_2013,provcode,Name of Provinces,32,KALINGA
form5_2013,provcode,Name of Provinces,33,LA UNION
form5_2013,provcode,Name of Provinces,34,LAGUNA
form5_2013,provcode,Name of Provinces,35,LANAO DEL NORTE
form5_2013,provcode,Name of Provinces,36,LANAO DEL SUR
form5_2013,provcode,Name of Provinces,37,LEYTE
form5_2013,provcode,Name of Provinces,38,MAGUINDANAO
form5_2013,provcode,Name of Provinces,39,NCR - MANILA FIRST DISTRICT
form5_2013,provcode,Name of Provinces,40,MARINDUQUE
form5_2013,provcode,Name of Provinces,41,MASBATE
form5_2013,provcode,Name of Provinces,42,MISAMIS OCCIDENTAL
form5_2013,provcode,Name of Provinces,43,MISAMIS ORIENTAL
form5_2013,provcode,Name of Provinces,44,MOUNTAIN PROVINCE
form5_2013,provcode,Name of Provinces,45,NEGROS OCCIDENTAL
form5_2013,provcode,Name of Provinces,46,NEGROS ORIENTAL
form5_2013,provcode,Name of Provinces,47,NORTH COTABATO
form5_2013,provcode,Name of Provinces,48,NORTHERN SAMAR
form5_2013,provcode,Name of Provinces,49,NUEVA ECIJA
form5_2013,provcode,Name of Provinces,50,NUEVA VIZCAYA
form5_2013,provcode,Name of Provinces,51,OCCIDENTAL MINDORO
form5_2013,provcode,Name of Provinces,52,ORIENTAL MINDORO
form5_2013,provcode,Name of Provinces,53,PALAWAN
form5_2013,provcode,Name of Provinces,54,PAMPANGA
