FDSEC01,FDSEC02,FDSEC03,FDSEC04,FDSEC05,FDSEC06,FDSEC07,FDSEC08,FDSEC09,hhnum,provcode,psurec,regcode,strrec,Wgt2
1,2,2,2,2,0,0,0,0,1,28,4,1,1,341.12255859375
0,2,2,0,2,0,0,0,0,10,28,4,1,1,341.12255859375
1,1,1,0,0,0,0,0,0,100,28,1,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,101,28,1,1,5,335.84747314453
2,2,2,2,2,0,0,0,0,102,28,1,1,5,335.84747314453
2,1,1,1,0,0,0,0,0,103,28,1,1,5,335.84747314453
1,1,1,1,1,1,1,1,0,104,28,1,1,5,335.84747314453
2,2,2,2,1,1,0,0,0,105,28,1,1,5,335.84747314453
1,1,1,0,0,0,0,0,0,106,28,1,1,5,335.84747314453
0,1,0,0,0,0,0,0,0,107,28,1,1,5,335.84747314453
2,2,1,2,1,1,1,1,0,108,28,1,1,5,335.84747314453
2,1,2,2,1,1,0,0,0,109,28,1,1,5,335.84747314453
2,1,1,1,0,0,0,0,0,11,28,4,1,1,341.12255859375
2,1,0,1,1,0,0,0,0,110,28,1,1,5,335.84747314453
2,2,2,2,2,2,2,2,0,111,28,1,1,5,335.84747314453
2,2,1,1,1,1,0,0,0,112,28,1,1,5,335.84747314453
1,1,1,1,1,1,0,0,0,113,28,1,1,5,335.84747314453
1,1,1,1,0,0,0,0,0,114,28,1,1,5,335.84747314453
1,1,1,1,2,2,0,0,0,115,28,1,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,116,28,4,1,2,350.84017944336
1,1,0,0,0,0,0,0,0,117,28,4,1,2,350.84017944336
3,1,0,0,0,0,0,0,0,118,28,4,1,2,350.84017944336
1,1,1,0,1,0,0,0,0,119,28,4,1,2,350.84017944336
1,0,0,0,0,0,0,0,0,120,28,4,1,2,350.84017944336
1,3,0,0,0,0,0,0,0,121,28,4,1,2,350.84017944336
2,2,0,0,0,0,0,0,0,122,28,4,1,2,350.84017944336
3,2,0,0,0,0,0,0,0,123,28,4,1,2,350.84017944336
1,1,1,0,1,0,0,0,0,124,28,4,1,2,350.84017944336
3,3,0,0,0,0,0,0,0,125,28,4,1,2,350.84017944336
1,1,2,1,0,0,0,0,0,126,28,4,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,127,28,4,1,2,350.84017944336
1,1,1,0,1,0,0,0,0,128,28,4,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,129,28,4,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,13,28,4,1,1,341.12255859375
1,1,1,0,1,0,0,0,0,130,28,4,1,2,350.84017944336
2,2,2,1,1,1,0,0,0,132,28,3,1,3,329
1,0,0,0,0,0,0,0,0,133,28,3,1,3,329
1,1,1,1,0,0,0,0,0,134,28,3,1,3,329
1,1,1,1,1,0,0,0,0,135,28,3,1,3,329
0,0,0,0,0,0,0,0,0,136,28,3,1,3,329
0,1,1,1,1,0,0,0,0,137,28,3,1,3,329
1,1,1,1,0,0,0,0,0,138,28,3,1,3,329
1,1,1,1,1,0,0,0,0,139,28,3,1,3,329
0,1,1,0,0,0,0,0,0,14,28,4,1,1,341.12255859375
1,1,1,1,0,0,0,0,0,140,28,3,1,3,329
1,1,1,0,0,0,0,0,0,141,28,3,1,3,329
2,2,1,1,1,1,1,0,0,142,28,3,1,3,329
1,1,0,0,0,0,0,0,0,143,28,3,1,3,329
1,1,1,1,1,1,0,1,0,144,28,3,1,3,329
2,2,2,1,1,1,1,1,1,145,28,3,1,3,329
1,1,0,0,0,0,0,0,0,146,28,3,1,3,329
2,1,1,2,1,1,1,0,0,147,28,3,1,3,329
0,0,0,0,0,0,0,0,0,148,28,4,1,5,335.84747314453
2,2,2,2,2,0,0,0,0,149,28,4,1,5,335.84747314453
3,3,3,3,3,3,0,0,0,15,28,4,1,1,341.12255859375
1,2,1,1,1,0,0,0,0,150,28,4,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,151,28,4,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,152,28,4,1,5,335.84747314453
1,1,1,1,1,1,0,0,0,153,28,4,1,5,335.84747314453
2,2,1,1,0,0,0,0,0,154,28,4,1,5,335.84747314453
2,1,1,1,0,0,0,0,0,155,28,4,1,5,335.84747314453
2,2,2,2,2,2,0,0,0,156,28,4,1,5,335.84747314453
2,2,2,2,1,0,0,0,0,157,28,4,1,5,335.84747314453
2,2,1,0,0,0,0,0,0,158,28,4,1,5,335.84747314453
1,0,0,0,0,0,0,0,0,159,28,4,1,5,335.84747314453
1,1,1,0,0,0,0,0,0,16,28,4,1,1,341.12255859375
2,2,2,2,1,0,0,0,0,160,28,4,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,161,28,4,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,166,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,167,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,168,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,169,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,171,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,172,28,1,1,1,341.12255859375
0,0,0,1,0,0,0,0,0,173,28,1,1,1,341.12255859375
0,0,0,0,1,1,0,1,0,174,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,175,28,1,1,1,341.12255859375
1,1,0,0,0,0,0,0,0,177,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,178,28,1,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,179,28,1,1,1,341.12255859375
0,1,1,1,0,0,0,0,0,180,28,2,1,1,341.12255859375
1,0,0,0,0,0,0,0,0,181,28,2,1,1,341.12255859375
1,0,0,0,0,0,0,0,0,182,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,184,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,185,28,2,1,1,341.12255859375
1,0,0,0,0,0,0,0,0,186,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,187,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,188,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,189,28,2,1,1,341.12255859375
1,1,1,1,1,0,0,0,0,19,28,4,1,3,329
0,0,0,0,0,0,0,0,0,190,28,2,1,1,341.12255859375
1,0,0,0,0,0,0,0,0,191,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,192,28,2,1,1,341.12255859375
1,0,0,0,0,0,0,0,0,193,28,2,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,199,28,1,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,2,28,4,1,1,341.12255859375
1,2,2,1,0,0,0,0,0,20,28,4,1,3,329
1,1,1,1,1,0,0,0,0,201,28,1,1,2,350.84017944336
1,2,2,2,1,1,0,0,0,202,28,1,1,2,350.84017944336
3,2,2,2,0,0,0,0,0,204,28,1,1,2,350.84017944336
1,2,0,0,2,0,0,0,0,205,28,1,1,2,350.84017944336
3,3,2,2,2,0,0,0,0,206,28,1,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,207,28,1,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,208,28,1,1,2,350.84017944336
1,1,0,0,0,0,0,0,0,209,28,1,1,2,350.84017944336
2,1,1,0,0,0,0,0,0,21,28,4,1,3,329
2,3,2,2,2,0,0,0,0,210,28,1,1,2,350.84017944336
2,1,0,0,0,0,0,0,0,211,28,1,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,212,28,1,1,2,350.84017944336
2,2,2,0,1,0,0,0,0,213,28,1,1,2,350.84017944336
2,2,2,0,1,0,0,0,0,214,28,1,1,2,350.84017944336
3,3,3,2,2,0,0,0,0,215,28,1,1,2,350.84017944336
0,1,0,0,0,0,0,0,0,217,28,1,1,2,350.84017944336
2,2,2,2,1,0,0,0,0,22,28,4,1,3,329
0,3,3,3,2,0,0,0,0,220,28,3,1,5,335.84747314453
2,1,1,0,0,0,0,0,0,221,28,3,1,5,335.84747314453
3,3,2,2,2,0,0,0,0,223,28,3,1,5,335.84747314453
1,1,1,0,1,1,0,0,0,224,28,3,1,5,335.84747314453
2,0,0,1,1,1,0,0,0,225,28,3,1,5,335.84747314453
3,0,2,2,2,0,0,0,0,226,28,3,1,5,335.84747314453
2,2,2,0,0,0,0,0,0,227,28,3,1,5,335.84747314453
3,3,1,1,0,0,0,0,0,228,28,3,1,5,335.84747314453
2,2,1,1,1,1,0,0,0,229,28,3,1,5,335.84747314453
2,2,2,2,2,2,2,1,0,23,28,4,1,3,329
1,1,0,0,0,0,0,0,0,230,28,3,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,231,28,3,1,5,335.84747314453
1,2,2,2,2,0,0,0,0,232,28,3,1,5,335.84747314453
3,2,2,2,2,0,0,0,0,233,28,2,1,4,329.5
0,0,0,0,0,0,0,0,0,234,28,2,1,4,329.5
0,0,0,0,0,0,0,0,0,235,28,2,1,4,329.5
3,2,2,2,2,1,0,0,0,236,28,2,1,4,329.5
0,0,0,0,0,0,0,0,0,237,28,2,1,4,329.5
2,1,0,0,0,0,0,0,0,238,28,2,1,4,329.5
0,0,0,0,0,0,0,0,0,239,28,2,1,4,329.5
1,2,2,2,2,0,0,0,0,24,28,4,1,3,329
0,0,0,0,0,0,0,0,0,240,28,2,1,4,329.5
2,3,3,3,3,2,0,1,0,242,28,2,1,4,329.5
3,2,2,2,2,2,0,0,0,243,28,2,1,4,329.5
0,1,1,1,0,0,0,0,0,244,28,2,1,4,329.5
1,2,2,2,2,1,0,0,0,245,28,2,1,4,329.5
3,2,2,1,2,0,0,0,0,246,28,2,1,4,329.5
2,3,2,0,0,1,0,0,0,247,28,2,1,4,329.5
0,0,0,0,0,0,0,0,0,248,28,2,1,4,329.5
1,2,2,0,1,1,0,0,0,249,28,2,1,2,350.84017944336
1,1,1,0,1,0,1,0,0,25,28,4,1,3,329
0,0,0,0,0,0,0,0,0,250,28,2,1,2,350.84017944336
2,2,2,2,2,0,0,0,0,251,28,2,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,252,28,2,1,2,350.84017944336
3,2,3,2,2,0,0,0,0,253,28,2,1,2,350.84017944336
0,1,1,2,1,0,0,0,0,254,28,2,1,2,350.84017944336
2,1,1,0,0,0,0,0,0,255,28,2,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,257,28,2,1,2,350.84017944336
2,2,2,0,2,1,1,1,1,258,28,2,1,2,350.84017944336
1,2,1,2,2,0,0,0,0,259,28,2,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,26,28,4,1,3,329
1,0,0,0,0,0,0,0,0,260,28,2,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,262,28,2,1,2,350.84017944336
1,2,1,1,1,2,0,0,0,263,28,2,1,2,350.84017944336
2,2,1,2,0,0,0,0,0,264,28,2,1,2,350.84017944336
0,1,1,1,1,0,0,0,0,267,28,3,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,268,28,3,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,27,28,4,1,3,329
2,2,2,1,1,0,0,0,0,270,28,3,1,2,350.84017944336
0,1,0,0,1,0,0,0,0,271,28,3,1,2,350.84017944336
3,1,3,2,2,2,0,0,0,272,28,3,1,2,350.84017944336
2,2,2,1,2,0,0,0,0,273,28,3,1,2,350.84017944336
1,1,1,0,0,0,0,0,0,274,28,3,1,2,350.84017944336
1,1,1,1,1,0,0,0,0,275,28,3,1,2,350.84017944336
1,1,1,1,1,0,0,0,0,276,28,3,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,277,28,3,1,2,350.84017944336
1,1,1,0,1,0,0,0,0,278,28,3,1,2,350.84017944336
2,2,2,1,0,0,0,0,0,279,28,3,1,2,350.84017944336
3,3,3,3,3,0,0,0,0,28,28,4,1,3,329
1,0,0,0,0,0,0,0,0,280,28,3,1,2,350.84017944336
0,1,1,1,1,0,0,0,0,281,28,3,1,2,350.84017944336
2,3,3,0,0,0,0,0,0,282,28,3,1,2,350.84017944336
1,1,1,1,0,0,0,0,0,283,28,3,1,2,350.84017944336
0,0,0,0,0,0,0,0,0,285,28,2,1,3,329
3,3,3,3,3,0,0,0,0,286,28,2,1,3,329
1,0,0,0,0,0,0,0,0,287,28,2,1,3,329
3,3,2,2,2,0,0,0,0,288,28,2,1,3,329
0,1,0,0,0,0,0,0,0,289,28,2,1,3,329
3,3,3,2,2,2,2,0,0,29,28,4,1,3,329
0,1,0,1,0,0,0,0,0,290,28,2,1,3,329
1,1,1,1,1,0,0,0,0,291,28,2,1,3,329
2,3,3,3,2,2,0,0,0,292,28,2,1,3,329
2,3,3,0,0,0,0,0,0,293,28,2,1,3,329
0,0,0,0,0,0,0,0,0,294,28,2,1,3,329
2,3,0,0,0,0,0,0,0,295,28,2,1,3,329
0,0,0,0,0,0,0,0,0,296,28,2,1,3,329
0,0,0,0,0,0,0,0,0,297,28,2,1,3,329
1,1,1,1,0,0,0,0,0,298,28,2,1,3,329
1,1,1,1,1,0,0,0,0,299,28,3,1,4,329.5
1,2,2,2,2,0,0,0,0,3,28,4,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,30,28,4,1,3,329
2,2,2,1,1,0,0,0,0,300,28,3,1,4,329.5
0,0,0,0,0,0,0,0,0,301,28,3,1,4,329.5
0,0,0,0,0,0,0,0,0,302,28,3,1,4,329.5
0,0,0,0,0,0,0,0,0,303,28,3,1,4,329.5
2,1,0,0,0,0,0,0,0,304,28,3,1,4,329.5
1,1,1,0,1,0,0,0,0,305,28,3,1,4,329.5
2,2,2,2,2,2,0,0,0,306,28,3,1,4,329.5
1,2,2,2,1,1,0,0,0,307,28,3,1,4,329.5
1,1,1,1,1,0,0,0,0,308,28,3,1,4,329.5
3,3,0,0,0,0,0,0,0,309,28,3,1,4,329.5
1,2,1,0,1,0,0,0,0,310,28,3,1,4,329.5
3,2,2,1,1,1,0,0,0,311,28,3,1,4,329.5
1,2,2,2,0,0,0,0,0,312,28,3,1,4,329.5
0,0,0,0,0,0,0,0,0,313,28,1,1,3,329
0,0,0,0,0,0,0,0,0,314,28,1,1,3,329
0,1,1,1,0,0,0,0,0,315,28,1,1,3,329
1,1,1,1,1,0,0,0,0,316,28,1,1,3,329
0,0,0,0,0,0,0,0,0,317,28,1,1,3,329
0,0,0,0,0,0,0,0,0,318,28,1,1,3,329
0,0,0,0,0,0,0,0,0,319,28,1,1,3,329
2,3,3,2,2,1,1,1,0,32,28,4,1,3,329
0,0,0,0,0,0,0,0,0,320,28,1,1,3,329
0,0,0,0,0,0,0,0,0,321,28,1,1,3,329
1,1,1,1,1,0,0,0,0,322,28,1,1,3,329
2,0,0,0,0,0,0,0,0,323,28,1,1,3,329
3,3,3,2,2,0,0,0,0,324,28,1,1,3,329
2,2,2,2,2,1,0,0,0,325,28,1,1,3,329
1,2,1,1,2,0,0,0,0,327,28,1,1,3,329
1,1,1,1,1,0,0,0,0,33,28,4,1,3,329
0,0,0,0,0,0,0,0,0,34,28,4,1,4,329.5
2,2,0,2,2,0,0,0,0,35,28,4,1,4,329.5
0,0,0,0,0,0,0,0,0,36,28,4,1,4,329.5
2,3,2,2,0,0,0,0,0,37,28,4,1,4,329.5
1,0,1,1,0,0,0,0,0,38,28,4,1,4,329.5
2,2,2,2,2,0,0,0,0,39,28,4,1,4,329.5
