formno,variable_name,variable_label,var_value,value_label
form31_2013,supp2,Folic Acid,0,No
form31_2013,supp2,Folic Acid,1,Yes
form31_2013,supp2,Folic Acid,99,NA
form31_2013,prenatal_ser4,Urinalysis,0,No
form31_2013,prenatal_ser4,Urinalysis,1,Yes
form31_2013,prenatal_ser4,Urinalysis,99,NA
form31_2013,prenatal_ser5,Ultrasound,0,No
form31_2013,prenatal_ser5,Ultrasound,1,Yes
form31_2013,prenatal_ser5,Ultrasound,99,NA
form31_2013,prenatal_ser6,Vitamins/Micronutrient Supplementation,0,No
form31_2013,prenatal_ser6,Vitamins/Micronutrient Supplementation,1,Yes
form31_2013,prenatal_ser6,Vitamins/Micronutrient Supplementation,99,NA
form31_2013,prenatal_ser7,Tetanus Toxoid Vaccine,0,No
form31_2013,prenatal_ser7,Tetanus Toxoid Vaccine,1,Yes
form31_2013,prenatal_ser7,Tetanus Toxoid Vaccine,99,NA
form31_2013,prenatal_ser8,Nutrition Counseling,0,No
form31_2013,prenatal_ser8,Nutrition Counseling,1,Yes
form31_2013,prenatal_ser8,Nutrition Counseling,99,NA
form31_2013,provcode,Name of Provinces,1,ABRA
form31_2013,provcode,Name of Provinces,2,AGUSAN DEL NORTE
form31_2013,provcode,Name of Provinces,3,AGUSAN DEL SUR
form31_2013,provcode,Name of Provinces,4,AKLAN
form31_2013,provcode,Name of Provinces,5,ALBAY
form31_2013,provcode,Name of Provinces,6,ANTIQUE
form31_2013,provcode,Name of Provinces,7,BASILAN
form31_2013,provcode,Name of Provinces,8,BATAAN
form31_2013,provcode,Name of Provinces,10,BATANGAS
form31_2013,provcode,Name of Provinces,11,BENGUET
form31_2013,provcode,Name of Provinces,12,BOHOL
form31_2013,provcode,Name of Provinces,13,BUKIDNON
form31_2013,provcode,Name of Provinces,14,BULACAN
form31_2013,provcode,Name of Provinces,15,CAGAYAN
form31_2013,provcode,Name of Provinces,16,CAMARINES NORTE
form31_2013,provcode,Name of Provinces,17,CAMARINES SUR
form31_2013,provcode,Name of Provinces,18,CAMIGUIN
form31_2013,provcode,Name of Provinces,19,CAPIZ
form31_2013,provcode,Name of Provinces,20,CATANDUANES
form31_2013,provcode,Name of Provinces,21,CAVITE
form31_2013,provcode,Name of Provinces,22,CEBU
form31_2013,provcode,Name of Provinces,23,DAVAO (DAVAO DEL NORTE)
form31_2013,provcode,Name of Provinces,24,DAVAO DEL SUR
form31_2013,provcode,Name of Provinces,25,DAVAO ORIENTAL
form31_2013,provcode,Name of Provinces,26,EASTERN SAMAR
form31_2013,provcode,Name of Provinces,27,IFUGAO
form31_2013,provcode,Name of Provinces,28,ILOCOS NORTE
form31_2013,provcode,Name of Provinces,29,ILOCOS SUR
form31_2013,provcode,Name of Provinces,30,ILOILO
form31_2013,provcode,Name of Provinces,31,ISABELA
form31_2013,provcode,Name of Provinces,32,KALINGA
form31_2013,provcode,Name of Provinces,33,LA UNION
form31_2013,provcode,Name of Provinces,34,LAGUNA
form31_2013,provcode,Name of Provinces,35,LANAO DEL NORTE
form31_2013,provcode,Name of Provinces,36,LANAO DEL SUR
form31_2013,provcode,Name of Provinces,37,LEYTE
form31_2013,provcode,Name of Provinces,38,MAGUINDANAO
form31_2013,provcode,Name of Provinces,39,NCR - MANILA FIRST DISTRICT
form31_2013,provcode,Name of Provinces,40,MARINDUQUE
form31_2013,provcode,Name of Provinces,41,MASBATE
form31_2013,provcode,Name of Provinces,42,MISAMIS OCCIDENTAL
form31_2013,provcode,Name of Provinces,43,MISAMIS ORIENTAL
form31_2013,provcode,Name of Provinces,44,MOUNTAIN PROVINCE
form31_2013,provcode,Name of Provinces,45,NEGROS OCCIDENTAL
form31_2013,provcode,Name of Provinces,46,NEGROS ORIENTAL
form31_2013,provcode,Name of Provinces,47,NORTH COTABATO
form31_2013,provcode,Name of Provinces,48,NORTHERN SAMAR
form31_2013,provcode,Name of Provinces,49,NUEVA ECIJA
form31_2013,provcode,Name of Provinces,50,NUEVA VIZCAYA
form31_2013,provcode,Name of Provinces,51,OCCIDENTAL MINDORO
form31_2013,provcode,Name of Provinces,52,ORIENTAL MINDORO
form31_2013,provcode,Name of Provinces,53,PALAWAN
form31_2013,provcode,Name of Provinces,54,PAMPANGA
form31_2013,provcode,Name of Provinces,55,PANGASINAN
form31_2013,provcode,Name of Provinces,56,QUEZON
form31_2013,provcode,Name of Provinces,57,QUIRINO
form31_2013,provcode,Name of Provinces,58,RIZAL
form31_2013,provcode,Name of Provinces,59,ROMBLON
form31_2013,provcode,Name of Provinces,60,WESTERN SAMAR
form31_2013,provcode,Name of Provinces,61,SIQUIJOR
form31_2013,provcode,Name of Provinces,62,SORSOGON
form31_2013,provcode,Name of Provinces,63,SOUTH COTABATO
form31_2013,provcode,Name of Provinces,64,SOUTHERN LEYTE
form31_2013,provcode,Name of Provinces,65,SULTAN KUDARAT
form31_2013,provcode,Name of Provinces,66,SULU
form31_2013,provcode,Name of Provinces,67,SURIGAO DEL NORTE
form31_2013,provcode,Name of Provinces,68,SURIGAO DEL SUR
form31_2013,provcode,Name of Provinces,69,TARLAC
form31_2013,provcode,Name of Provinces,70,TAWI-TAWI
form31_2013,provcode,Name of Provinces,71,ZAMBALES
form31_2013,provcode,Name of Provinces,72,ZAMBOANGA DEL NORTE
form31_2013,provcode,Name of Provinces,73,ZAMBOANGA DEL SUR
form31_2013,provcode,Name of Provinces,74,NCR SECOND DISTRICT
form31_2013,provcode,Name of Provinces,75,NCR THIRD DISTRICT
form31_2013,provcode,Name of Provinces,76,NCR FOURTH DISTRICT
form31_2013,provcode,Name of Provinces,77,AURORA
form31_2013,provcode,Name of Provinces,78,BILIRAN
form31_2013,provcode,Name of Provinces,79,GUIMARAS
form31_2013,provcode,Name of Provinces,80,SARANGANI
form31_2013,provcode,Name of Provinces,81,APAYAO
form31_2013,provcode,Name of Provinces,82,COMPOSTELA VALLEY
form31_2013,provcode,Name of Provinces,83,ZAMBOANGA SIBUGAY
form31_2013,provcode,Name of Provinces,97,ISABELA CITY
form31_2013,provcode,Name of Provinces,98,COTABATO CITY
form31_2013,psurec,Primary Sampling Unit,,
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,1,Unknown pregnancy
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,2,Not informed/not aware  
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,3,No available money
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,4,Health facility is very far
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,5,Busy/no time/not interested
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,6,Others
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,99,NA
form31_2013,reason_delayed_pnc,Reason for Delayed Pre-Natal Check Up,9999,Missing
form31_2013,reason_ontime_pnc,Reason for Ontime Pre-Natal Check Up,1,Based on my knowledge
form31_2013,reason_ontime_pnc,Reason for Ontime Pre-Natal Check Up,2,Advised by doctor midwife nurse
form31_2013,reason_ontime_pnc,Reason for Ontime Pre-Natal Check Up,3,Advised by relatives/ friends/ neighbors
form31_2013,reason_ontime_pnc,Reason for Ontime Pre-Natal Check Up,4,Seen/read/heard from TV newsprint magazine radio or internet
form31_2013,reason_ontime_pnc,Reason for Ontime Pre-Natal Check Up,99,NA
form31_2013,reason_ontime_pnc,Reason for Ontime Pre-Natal Check Up,9999,Missing
form31_2013,regcode,Name of Regions,1,ILOCOS REGION
form31_2013,regcode,Name of Regions,2,CAGAYAN VALLEY
form31_2013,regcode,Name of Regions,3,CENTRAL LUZON
form31_2013,regcode,Name of Regions,5,BICOL
form31_2013,regcode,Name of Regions,6,WESTERN VISAYAS
form31_2013,regcode,Name of Regions,7,CENTRAL VISAYAS
form31_2013,regcode,Name of Regions,8,EASTERN VISAYAS
form31_2013,regcode,Name of Regions,9,ZAMBOANGA PENINSULA
form31_2013,regcode,Name of Regions,10,NORTHERN MINDANAO
form31_2013,regcode,Name of Regions,11,DAVAO REGION
form31_2013,regcode,Name of Regions,12,SOCCSKSARGEN
form31_2013,regcode,Name of Regions,13,NATIONAL CAPITAL REGION
form31_2013,regcode,Name of Regions,14,CORDILLERA ADMINISTRATIVE REGION
form31_2013,regcode,Name of Regions,15,ARMM
form31_2013,regcode,Name of Regions,16,CARAGA
form31_2013,regcode,Name of Regions,41,CALABARZON
form31_2013,regcode,Name of Regions,42,MIMAROPA
form31_2013,strrec,Strata,,
form31_2013,supp1,Ferrous Sulfate,0,No
form31_2013,supp1,Ferrous Sulfate,1,Yes
form31_2013,supp1,Ferrous Sulfate,99,NA
form31_2013,prenatal_ser3,Blood Test,0,No
form31_2013,prenatal_ser3,Blood Test,1,Yes
form31_2013,prenatal_ser3,Blood Test,99,NA
form31_2013,supp3,Iron-Folic Acid,0,No
form31_2013,supp3,Iron-Folic Acid,1,Yes
form31_2013,supp3,Iron-Folic Acid,99,NA
form31_2013,supp4,Multivitamins,0,No
form31_2013,supp4,Multivitamins,1,Yes
form31_2013,supp4,Multivitamins,99,NA
form31_2013,supp5,Single Vitamin/Mineral,0,No
form31_2013,supp5,Single Vitamin/Mineral,1,Yes
form31_2013,supp5,Single Vitamin/Mineral,99,NA
form31_2013,take_vitmin,Take/Currently Taking Vitamins,0,No
form31_2013,take_vitmin,Take/Currently Taking Vitamins,1,Yes
form31_2013,vita_supp,Given Vitamin A,0,No
form31_2013,vita_supp,Given Vitamin A,1,Yes
form31_2013,vita_supp,Given Vitamin A,88,Do not Know
form31_2013,vita_supp,Given Vitamin A,99,NA
form31_2013,wash_hand1,Wash Hand: Before Food Prepation,0,Never
form31_2013,wash_hand1,Wash Hand: Before Food Prepation,1,Always
form31_2013,wash_hand1,Wash Hand: Before Food Prepation,2,Sometimes
form31_2013,wash_hand1,Wash Hand: Before Food Prepation,99,NA(First time pregnant)
form31_2013,wash_hand1,Wash Hand: Before Food Prepation,9999,Missing
form31_2013,wash_hand2,Wash Hand: Before Eating,0,Never
form31_2013,wash_hand2,Wash Hand: Before Eating,1,Always
form31_2013,wash_hand2,Wash Hand: Before Eating,2,Sometimes
form31_2013,wash_hand2,Wash Hand: Before Eating,99,NA(First time pregnant)
form31_2013,wash_hand2,Wash Hand: Before Eating,9999,Missing
form31_2013,wash_hand3,Wash Hand: After Eating,0,Never
form31_2013,wash_hand3,Wash Hand: After Eating,1,Always
form31_2013,wash_hand3,Wash Hand: After Eating,2,Sometimes
form31_2013,wash_hand3,Wash Hand: After Eating,99,NA(First time pregnant)
