makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelused,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
9,14,3,1,3,3,1,0,1,2,1,4,28,2,1,4,2,8,341.12255859375,1,1,0,9,0,1,0
99,1,1,1,1,1,1,0,0,2,1,4,28,3,10,5,2,6,341.12255859375,1,1,0,0,0,0,1
99,1,1,1,3,1,5,0,0,2,1,1,28,1,100,3,6,8,335.84747314453,1,1,0,0,0,1,0
2,1,1,1,3,1,5,1,0,2,1,1,28,2,101,2,6,8,335.84747314453,1,1,0,1,0,1,0
3,5,1,1,3,1,5,1,0,2,1,1,28,2,102,2,5,8,335.84747314453,1,1,0,1,0,1,0
9,14,1,1,3,1,5,0,0,2,1,1,28,1,103,3,6,8,335.84747314453,1,1,0,9,0,1,0
9,14,1,1,3,1,5,0,1,2,1,1,28,2,104,4,5,8,335.84747314453,1,1,0,9,0,1,0
9,14,1,1,3,1,5,0,0,2,1,1,28,2,105,3,6,8,335.84747314453,1,1,0,9,0,1,0
9,14,1,1,3,1,5,0,0,2,1,1,28,1,106,4,5,8,335.84747314453,1,1,0,9,0,1,0
9,14,1,1,3,1,5,0,1,2,1,1,28,1,107,5,2,8,335.84747314453,1,1,0,9,0,1,0
99,1,1,1,3,1,5,0,0,2,1,1,28,3,108,2,6,8,335.84747314453,1,2,0,0,0,1,1
99,4,1,1,3,1,5,0,0,2,1,1,28,2,109,3,5,8,335.84747314453,1,1,0,0,0,1,0
9,14,1,1,1,1,1,0,1,2,1,4,28,3,11,5,2,8,341.12255859375,1,1,0,9,1,1,1
3,1,1,1,1,1,5,1,0,2,1,1,28,2,110,4,2,8,335.84747314453,1,1,0,1,0,1,0
1,1,1,1,3,3,5,1,1,2,1,1,28,1,111,3,6,8,335.84747314453,1,1,0,1,0,1,0
99,4,1,1,3,1,5,0,0,2,1,1,28,2,112,3,5,8,335.84747314453,1,1,0,0,0,1,0
1,5,1,1,3,1,5,1,1,2,1,1,28,3,113,3,6,6,335.84747314453,1,1,0,1,1,1,1
99,1,1,1,3,1,5,0,0,2,1,1,28,2,114,2,6,8,335.84747314453,1,1,0,0,0,1,0
99,5,1,1,3,3,5,0,1,2,1,1,28,2,115,3,6,8,335.84747314453,1,1,0,0,0,1,0
99,1,1,1,3,3,2,0,1,2,1,4,28,2,116,3,6,8,350.84017944336,1,1,0,0,0,0,1
99,1,1,1,3,1,2,0,1,2,1,4,28,2,117,3,6,8,350.84017944336,1,1,0,0,0,0,1
4,4,1,1,3,3,2,0,1,2,1,4,28,2,118,3,6,8,350.84017944336,1,1,0,1,0,0,1
99,1,1,1,3,3,2,0,1,2,1,4,28,3,119,2,6,8,350.84017944336,1,1,0,0,0,0,1
99,4,1,1,3,3,2,0,1,2,1,4,28,1,120,2,6,8,350.84017944336,1,1,0,0,1,0,1
9,14,1,1,3,1,2,0,1,2,1,4,28,3,121,5,2,8,350.84017944336,1,1,0,9,0,0,1
99,6,1,1,1,1,2,0,1,2,1,4,28,1,122,2,6,8,350.84017944336,1,1,1,0,0,0,1
9,14,1,1,1,1,2,0,1,2,1,4,28,3,123,4,6,8,350.84017944336,1,1,0,9,0,0,1
99,1,1,1,3,1,2,0,1,2,1,4,28,2,124,3,6,8,350.84017944336,1,1,0,0,0,0,1
9,14,1,1,1,1,2,0,1,2,1,4,28,1,125,4,2,8,350.84017944336,1,1,1,9,0,0,1
1,4,1,1,1,1,2,0,1,2,1,4,28,1,126,4,6,8,350.84017944336,1,1,0,1,1,0,0
9,14,1,1,1,1,2,0,0,2,1,4,28,2,127,5,2,6,350.84017944336,1,1,1,9,0,0,0
99,1,1,1,3,1,2,0,1,2,1,4,28,2,128,3,6,8,350.84017944336,1,1,0,0,0,0,1
99,1,1,1,3,3,2,0,0,2,1,4,28,3,129,5,2,6,350.84017944336,1,1,0,0,0,0,1
3,1,1,1,3,1,1,0,0,2,1,4,28,2,13,5,2,8,341.12255859375,1,1,0,1,0,1,0
99,1,2,1,3,1,2,0,1,2,1,4,28,1,130,2,6,1,350.84017944336,1,1,0,0,1,0,1
4,4,4,1,1,1,3,0,0,2,1,3,28,1,132,2,6,8,329,1,5,0,1,0,1,0
9,14,1,1,1,1,3,0,1,4,1,3,28,6,133,5,2,6,329,1,1,0,9,0,1,0
9,14,1,1,1,1,3,0,1,2,1,3,28,2,134,5,2,6,329,1,1,0,9,0,1,0
9,14,1,0,1,1,3,9,1,2,1,3,28,2,135,4,6,8,329,1,1,0,9,0,1,1
9,14,1,1,3,3,3,1,1,4,1,3,28,3,136,5,2,6,329,1,2,0,9,0,1,0
1,4,3,1,1,1,3,0,1,2,1,3,28,2,137,3,6,8,329,1,1,0,1,0,1,0
99,1,1,1,3,1,3,0,0,2,1,3,28,2,138,4,2,8,329,1,1,0,0,0,1,0
1,4,1,1,3,3,3,0,1,2,1,3,28,1,139,2,6,8,329,1,1,0,1,0,1,1
9,14,1,1,1,1,1,0,1,2,1,4,28,3,14,5,2,6,341.12255859375,1,1,0,9,0,1,1
9,14,1,1,3,1,3,0,0,2,1,3,28,2,140,3,6,8,329,1,1,0,9,0,1,0
99,4,1,1,1,1,3,0,0,4,1,3,28,1,141,3,2,6,329,1,1,0,0,0,1,0
99,4,1,1,3,3,3,1,1,2,1,3,28,1,142,2,6,8,329,1,1,0,0,0,1,0
9,14,1,1,1,1,3,0,1,2,1,3,28,4,143,5,2,6,329,1,1,0,9,0,1,0
