Total_Energy,fg6,fg7,fg8,fg9,hhnum,provcode,psurec,regcode,strrec,Total_Calcium,Total_CHO,fg5,Total_Fat,Total_FoodIntake,Total_Iron,Total_Niacin,Total_Protein,Total_Riboflavin,Total_Thiamin,Total_VitaminA,Total_VitaminC,wgts,fg19,fg1,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,cu,fg2,fg20,fg21,fg23,fg24,fg25,fg26,fg27,fg3,fg4
1884.6800537,0,0,364.48001099,330.25,164,28,3,1,1,16.25,399.57998657,0,7.5499997139,901.40997314,882.47998047,19.270000458,50.950000763,0.9469192028,1.1307291985,855.7300415,165.97999573,1688.1428223,0,413.26998901,34.229999542,0,0,0,60.060001373,60.060001373,0,0,0,4,413.26998901,0,0,0,63.599998474,52,11.600000381,0,0,0
9481.0195313,36.299999237,329.20001221,883.54003906,0,165,28,3,1,1,63.799999237,1609.3499756,0,202.72999573,3957.2800293,3094.3901367,86.779998779,318.79998779,4.3200001717,6.9299998283,1394.5400391,166.66000366,1688.1428223,302.70999146,1598.5,883.54003906,0,0,0,499.72998047,190.33000183,309.3999939,0,247.19999695,6,1543.5,302.70999146,0,38.799999237,21.299999237,14.5,6.8000001907,0,0,55
2225.579834,0,172.6000061,28,28,166,28,3,1,1,19.541971207,439.19784546,0,17.063671112,986.23852539,915.85943604,18.39691925,78.588829041,1.1096299887,1.70618999,493.41564941,35.748500824,1688.1428223,124.28749847,407.6000061,0,170.3999939,0,170.3999939,65.350997925,65.350997925,0,0,0,1,407.6000061,124.28749847,0,0,18,18,0,0,0,0
7024.8398438,165.19999695,0,1045.1700439,149.5,167,28,3,1,1,56.279998779,1487.380127,0,41.63999939,3029,2705.1999512,63.740001678,173.80999756,2.9929201603,5.1478691101,1619.0400391,163.61000061,1688.1428223,0,1566.6999512,895.66998291,0,0,0,181.02999878,181.02999878,0,0,0,7,1456.6999512,0,0,1.5,69.400001526,44,25.399999619,0,0,110
7545.6098633,0,0,802.16003418,57.13999939,168,28,3,1,1,41.799999237,868.92004395,0,320.59997559,3700.2099609,2408.6000977,151.77999878,295.58999634,2.6100001335,6.25,469.70999146,108.08999634,1688.1428223,0,1472.2700195,745.02001953,0,0,0,1285.7800293,96.86000061,1188.9200439,0,0,4,1268.5999756,0,0,0,140,140,0,0,0,203.66999817
2498.6999512,0,0,584.32000732,584.32000732,169,28,3,1,1,21.25,494.78997803,0,24.61000061,1353.7299805,1090.5100098,34.770000458,74.269996643,1.0315999985,1.6054700613,1713.7700195,156.63000488,1688.1428223,0,507.67999268,0,0,0,0,78.220001221,78.220001221,0,0,86.309997559,2,507.67999268,0,0,0,97.199996948,30,27.200000763,40,0,0
8125.050293,38.200000763,49.200000763,719.70001221,16.5,170,28,3,1,1,74.930000305,1332.9399414,0,200.97119141,3747,2351.9399414,75.760002136,257.08999634,7.1875200272,10.055159569,3593.3200684,154.44999695,1688.1428223,105.22000122,1507.2800293,703.20001221,323.29998779,0,323.29998779,74.5,74.5,0,0,853.5,4,984.29998779,105.22000122,0,12.199999809,63.900001526,1.2000000477,62.700000763,0,0,522.97998047
5956.6000977,61.5,36.700000763,816.29998779,527.09997559,171,28,3,1,1,30.309999466,1024.3299561,0,126.38999939,3188.1999512,1693.0600586,53.030002594,179.61000061,3.3452427387,2.1020128727,1785.4499512,144.82000732,1688.1428223,465.11999512,1050.8499756,289.19998169,0,0,0,395.82998657,395.82998657,0,0,236.19999695,4,1024.0999756,465.11999512,0,57.900001526,67.800003052,0,67.800003052,0,0,26.75
11843.029297,0,88,569.90002441,569.60003662,172,28,3,1,1,72.036659241,2045.3699951,0,281.92178345,4140.6601563,2327.7700195,87.061332703,279.09243774,4.9513187408,6.0413188934,3048.3999023,116.52887726,1688.1428223,503.25,2113.9499512,0.30000001192,0,0,0,586.35998535,0,586.35998535,0,0,10,1958.5699463,503.25,0,85.099998474,194.1000061,180,13,1.1000000238,0,155.38000488
10275.179688,0,501.70001221,745.70001221,0,173,28,3,1,1,66.010002136,1463.8200684,0,278.80377197,3899.9001465,5497.2705078,148.07600403,475.55999756,4.5144400597,9.3142204285,197.17999268,132.83999634,1688.1428223,0,1108.3000488,745.70001221,0,0,0,1289.4000244,296.20001221,993.20001221,0,0,6.3333333731,1108.3000488,0,0,0,254.80000305,210.6000061,44.200000763,0,0,0
10055.700195,181.3999939,0,754.29998779,63.5,174,28,3,1,1,42.349998474,1913.8200684,0,116.5,6142.3300781,4308.3198242,119.08000183,335.74002075,6.9114928246,3.3702199459,3128.0998535,164.5,1688.1428223,1945.9000244,1675.4000244,690.79998779,490.3999939,0,490.3999939,987.2300415,987.2300415,0,0,0,4,1675.4000244,1945.9000244,0,0,107.69999695,89.199996948,18.5,0,0,0
8857.3398438,0,21.100000381,0,0,176,28,3,1,1,33.580001831,737.75,0,552.86999512,2759.1899414,658.70001221,77.480003357,232.86001587,2.2904398441,7.2800002098,631.72003174,74.040000916,1688.1428223,0,693.58001709,0,356.70001221,0,356.70001221,1392.9099121,81.199996948,1311.7099609,0,59,4,668.5,0,0,133.5,102.40000153,82,20.399999619,0,0,25.079999924
5870.9599609,105.19999695,0,0,0,177,28,3,1,1,25.819999695,805.48999023,0,197.14109802,1949.1500244,533.97003174,63.569999695,218.56999207,2.1113200188,2.370000124,192.18000793,25.780000687,1688.1428223,0,715.63000488,0,0,0,0,1043.0200195,86.800003052,197.72000122,758.5,0,3,552.59997559,0,0,63.5,21.800001144,1.1000000238,3,17.700000763,0,163.02999878
4775.8598633,119.04000092,39.799999237,1327.7800293,921.72998047,201,28,2,1,2,106.90000153,857.92004395,0,56.553901672,3600.2199707,2775.5,89.340003967,207.97999573,12.409539223,3.1260800362,44132.941406,810.7199707,1399.3125,0,751.19000244,406.04998779,486.57998657,0,486.57998657,754.72998047,379.19000244,375.54000854,0,0,3.6666666865,751.19000244,0,0,39.5,81.599998474,3.9000000954,77.700004578,0,0,0
5288.3076172,26.200000763,0,562.98510742,0,202,28,2,1,2,29.746349335,930.90698242,0,92.047195435,2651.9106445,1546.1508789,38.8085289,147.76393127,1.7739099264,1.4791200161,591.10845947,39.250801086,1399.3125,0,1267.734375,562.98510742,0,0,0,412.68301392,117.26000214,295.42300415,0,177.80804443,2.6666666865,1267.734375,0,0,38.299999237,166.19999695,1,152.80000305,12.399999619,0,0
3891.4199219,0,0,516.20001221,0,203,28,2,1,2,24.950000763,633.95001221,0,87.010002136,1655.6700439,809.47998047,50,141.13000488,1.2475072145,1.5340847969,572.85998535,62.700000763,1399.3125,0,623.04998779,516.20001221,0,0,0,407.41998291,64.900001526,0,342.51998901,0,2.3333333433,450.52999878,0,0,33.200000763,75.800003052,50,25.799999237,0,0,172.52000427
8283.25,31.399999619,182.30000305,817.32000732,477.02001953,204,28,2,1,2,63,1501.4000244,0,118.47999573,3652.8200684,2360.0800781,123.49999237,329.47000122,4.3559961319,6.6302108765,2757.920166,533.0300293,1399.3125,0,1615.2700195,340.30001831,0,0,0,930.92999268,302.61001587,0,628.32000732,0,6,1515.2700195,0,0,31.600000381,44,44,0,0,0,100
3234.7199707,15.399999619,0,152.97000122,6.3200001717,205,28,2,1,2,11.050000191,662.76000977,0,25.824399948,1182.6500244,401.92001343,33.740001678,87.099998474,0.54351937771,0.87960898876,91.11000061,22.709999084,1399.3125,0,792.97998047,146.6499939,0,0,0,195.19999695,55.009998322,0,140.19000244,0,2,792.97998047,0,0,17.799999237,8.3000001907,4.4000000954,3.9000000954,0,0,0
4380.2700195,0,19.5,123.06000519,66.660003662,206,28,2,1,2,22.36000061,741.08001709,0,111.27999878,2169.6999512,979.04998779,34.379997253,102.66000366,2.2163600922,1.6312999725,1156.2700195,116.56999969,1399.3125,908.13000488,704.01000977,56.400001526,0,0,0,95,95,0,0,163.80000305,5,695.65002441,908.13000488,0,53.200000763,103,68,35,0,0,8.3599996567
