fdsec01,fdsec02,fdsec03,fdsec04,fdsec05,fdsec06,fdsec07,fdsec08,fdsec09,hhnum,provcode,psurec,regcode,strrec,Wgt2
0,0,0,0,0,0,0,0,0,1,28,1,1,1,375.89920044
2,0,2,0,0,0,0,0,0,10,28,1,1,1,375.89920044
1,1,1,1,1,0,0,0,0,100,28,2,1,5,271.45379639
0,0,0,0,2,0,2,0,0,101,28,2,1,5,271.45379639
2,2,0,0,0,2,0,0,0,102,28,2,1,5,271.45379639
2,2,2,0,2,0,0,1,1,103,28,2,1,5,271.45379639
1,1,0,0,0,0,0,0,0,104,28,2,1,5,271.45379639
2,2,2,0,2,0,0,0,0,105,28,2,1,5,271.45379639
3,2,2,2,0,3,0,1,0,106,28,2,1,5,271.45379639
1,0,0,0,0,0,0,0,0,107,28,2,1,5,271.45379639
0,0,0,0,0,0,0,0,0,108,28,2,1,5,271.45379639
3,3,3,3,0,0,0,0,0,109,28,2,1,5,271.45379639
0,0,0,0,0,0,0,0,0,11,28,1,1,1,375.89920044
2,2,0,2,0,0,0,0,0,110,28,2,1,5,271.45379639
0,0,0,0,0,0,0,0,0,111,28,2,1,5,271.45379639
3,2,1,2,1,2,0,0,0,112,28,2,1,5,271.45379639
2,3,2,2,2,3,0,0,0,113,28,2,1,5,271.45379639
2,2,2,2,2,0,0,2,0,114,28,2,1,5,271.45379639
2,2,2,2,2,2,0,2,0,115,28,2,1,5,271.45379639
0,0,0,0,0,0,0,0,0,116,28,2,1,5,271.45379639
1,1,0,0,1,0,0,0,0,117,28,2,1,5,271.45379639
2,0,0,0,0,2,2,0,0,118,28,2,1,5,271.45379639
0,1,0,0,0,0,0,0,0,119,28,2,1,5,271.45379639
3,0,0,0,0,0,0,0,0,120,28,2,1,5,271.45379639
2,2,2,2,0,0,0,0,0,121,28,2,1,5,271.45379639
3,3,3,3,3,2,0,2,1,122,28,2,1,5,271.45379639
0,0,0,1,0,0,0,0,0,123,28,2,1,5,271.45379639
1,0,1,0,1,0,0,0,0,124,28,2,1,5,271.45379639
0,0,0,2,2,2,1,2,0,125,28,2,1,5,271.45379639
3,3,3,3,3,3,0,0,0,126,28,2,1,5,271.45379639
0,0,0,0,0,0,0,0,0,127,28,3,1,5,351.52288818
2,2,1,2,2,2,0,2,0,128,28,3,1,5,351.52288818
1,1,1,1,0,0,0,0,0,129,28,3,1,5,351.52288818
3,2,2,2,2,2,1,1,0,13,28,1,1,4,228.5216217
1,1,1,1,1,0,0,0,0,130,28,3,1,5,351.52288818
0,2,0,2,2,2,0,0,0,131,28,3,1,5,351.52288818
0,0,0,0,1,0,0,0,0,132,28,3,1,5,351.52288818
0,0,0,0,0,0,0,0,0,133,28,3,1,5,351.52288818
0,0,0,0,0,0,0,0,0,134,28,3,1,5,351.52288818
2,2,2,2,2,1,1,0,0,135,28,3,1,5,351.52288818
1,1,1,1,1,1,1,0,0,136,28,3,1,5,351.52288818
2,2,0,1,0,0,0,0,0,137,28,3,1,5,351.52288818
0,0,0,0,0,0,0,0,0,138,28,3,1,5,351.52288818
0,0,0,0,0,0,0,0,0,139,28,3,1,5,351.52288818
2,2,2,3,2,0,0,0,0,14,28,1,1,4,228.5216217
1,1,1,1,1,1,1,1,0,140,28,3,1,5,351.52288818
2,2,2,2,2,2,2,2,2,141,28,1,1,2,350.72280884
1,1,1,1,1,0,0,0,0,142,28,1,1,2,350.72280884
3,2,2,2,2,2,0,1,0,143,28,1,1,2,350.72280884
0,1,0,1,0,0,0,0,0,144,28,1,1,2,350.72280884
1,0,2,2,0,0,0,0,0,145,28,1,1,2,350.72280884
0,2,1,1,1,0,0,0,0,146,28,1,1,2,350.72280884
2,2,2,0,0,0,0,0,0,147,28,1,1,2,350.72280884
1,3,2,3,2,0,0,0,0,148,28,1,1,2,350.72280884
2,1,2,2,1,1,0,0,0,149,28,1,1,2,350.72280884
2,2,2,2,2,1,1,0,0,15,28,1,1,4,228.5216217
3,3,2,2,1,1,0,0,0,150,28,1,1,2,350.72280884
2,1,1,2,2,2,0,0,0,151,28,1,1,2,350.72280884
3,2,2,2,2,0,2,0,0,152,28,1,1,2,350.72280884
3,2,3,2,1,2,3,3,0,153,28,1,1,2,350.72280884
3,2,2,0,0,0,0,0,0,154,28,1,1,2,350.72280884
3,2,2,2,2,0,0,0,0,155,28,2,1,3,341.18518066
3,3,0,2,0,3,0,0,0,156,28,2,1,3,341.18518066
0,0,0,0,0,0,1,0,0,157,28,2,1,3,341.18518066
0,0,0,0,0,0,0,0,0,158,28,2,1,3,341.18518066
0,0,0,0,0,0,0,0,0,159,28,2,1,3,341.18518066
2,1,1,1,1,0,0,0,0,16,28,1,1,4,228.5216217
0,0,0,0,0,0,0,0,0,160,28,2,1,3,341.18518066
1,0,0,0,0,0,0,0,0,161,28,2,1,3,341.18518066
1,1,1,1,0,0,0,0,0,162,28,2,1,3,341.18518066
3,2,2,2,0,0,0,0,0,163,28,3,1,5,351.52288818
2,2,2,2,2,2,2,2,0,164,28,3,1,1,375.89920044
0,2,2,0,0,0,0,0,0,165,28,3,1,1,375.89920044
0,1,0,1,0,0,0,0,0,166,28,3,1,1,375.89920044
3,3,3,1,3,3,3,2,0,167,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,168,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,169,28,3,1,1,375.89920044
2,2,2,1,2,1,1,1,0,17,28,1,1,4,228.5216217
0,3,0,0,0,0,0,0,0,170,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,171,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,172,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,173,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,174,28,3,1,1,375.89920044
0,0,0,0,0,0,0,0,0,176,28,3,1,1,375.89920044
1,1,0,0,0,0,0,0,0,177,28,3,1,1,375.89920044
1,0,0,0,0,0,0,0,0,178,28,4,1,1,375.89920044
0,0,0,0,0,0,0,0,0,179,28,4,1,1,375.89920044
3,2,2,2,2,2,2,0,0,18,28,1,1,4,228.5216217
2,2,2,2,1,1,1,1,1,180,28,4,1,1,375.89920044
1,0,0,0,0,0,0,0,0,181,28,4,1,1,375.89920044
1,2,1,2,1,0,0,0,0,182,28,4,1,1,375.89920044
2,1,1,1,1,0,0,0,0,183,28,4,1,1,375.89920044
1,1,1,1,0,0,0,0,0,184,28,4,1,1,375.89920044
1,0,0,0,0,0,0,0,0,185,28,4,1,1,375.89920044
2,2,1,2,2,2,0,0,0,186,28,4,1,1,375.89920044
0,0,0,0,0,0,0,0,0,187,28,4,1,1,375.89920044
2,2,1,1,1,1,1,1,0,188,28,4,1,1,375.89920044
1,1,0,0,1,0,0,0,0,189,28,4,1,1,375.89920044
2,2,2,2,2,0,2,0,0,19,28,1,1,4,228.5216217
0,0,0,0,0,0,0,0,0,190,28,4,1,1,375.89920044
1,1,1,1,1,1,1,1,1,191,28,4,1,1,375.89920044
2,1,1,0,0,1,0,0,0,192,28,4,1,1,375.89920044
2,2,2,2,1,0,0,0,0,193,28,4,1,1,375.89920044
0,0,0,0,0,0,0,0,0,194,28,4,1,1,375.89920044
2,0,0,0,0,0,0,0,0,195,28,4,1,1,375.89920044
1,0,0,0,0,0,0,0,0,196,28,4,1,1,375.89920044
0,2,2,3,2,2,0,0,0,197,28,4,1,1,375.89920044
1,0,0,0,0,0,0,0,0,198,28,4,1,1,375.89920044
2,2,2,1,1,0,0,0,0,199,28,4,1,1,375.89920044
2,1,0,0,0,0,0,0,0,2,28,1,1,1,375.89920044
3,2,2,1,1,0,2,0,0,20,28,1,1,4,228.5216217
0,0,0,0,0,0,0,0,0,200,28,4,1,1,375.89920044
1,1,1,1,1,0,0,0,0,201,28,2,1,2,350.72280884
2,1,0,1,1,0,0,0,0,202,28,2,1,2,350.72280884
0,1,0,0,0,0,0,0,0,203,28,2,1,2,350.72280884
1,1,1,1,2,1,0,0,0,204,28,2,1,2,350.72280884
2,2,2,2,2,0,0,0,0,205,28,2,1,2,350.72280884
2,1,0,0,0,0,0,0,0,206,28,2,1,2,350.72280884
2,1,0,0,0,0,0,0,0,207,28,2,1,2,350.72280884
1,2,1,0,0,0,0,0,0,208,28,2,1,2,350.72280884
0,1,1,2,0,0,0,0,0,209,28,2,1,2,350.72280884
2,2,2,1,2,1,2,0,0,21,28,1,1,4,228.5216217
2,1,2,2,1,0,0,0,0,210,28,2,1,2,350.72280884
1,1,1,1,1,0,0,0,0,211,28,2,1,2,350.72280884
0,1,0,0,0,0,0,0,0,212,28,2,1,2,350.72280884
0,1,1,0,0,0,0,0,0,213,28,2,1,2,350.72280884
1,0,1,1,0,0,0,0,0,214,28,2,1,2,350.72280884
1,1,1,0,0,0,0,0,0,215,28,2,1,2,350.72280884
0,0,0,0,0,0,0,0,0,216,28,2,1,2,350.72280884
1,1,1,0,1,1,0,0,0,217,28,4,1,5,351.52288818
0,0,0,0,0,0,0,0,0,218,28,4,1,5,351.52288818
2,2,2,2,2,0,0,2,0,219,28,4,1,5,351.52288818
2,1,0,0,1,1,0,0,0,22,28,1,1,4,228.5216217
1,1,1,0,0,0,0,0,0,220,28,4,1,5,351.52288818
2,2,2,1,1,1,1,0,0,221,28,4,1,5,351.52288818
0,0,0,0,0,0,0,0,0,222,28,4,1,5,351.52288818
1,1,0,1,0,0,0,0,0,223,28,4,1,5,351.52288818
0,1,2,0,2,1,0,0,0,224,28,4,1,5,351.52288818
0,0,0,0,0,0,0,0,0,225,28,4,1,5,351.52288818
0,0,0,0,0,0,0,0,0,226,28,4,1,5,351.52288818
1,1,1,0,1,1,1,1,1,227,28,4,1,5,351.52288818
1,1,1,1,1,1,1,1,1,228,28,4,1,5,351.52288818
1,2,2,2,1,2,1,2,1,229,28,4,1,5,351.52288818
2,0,0,0,0,0,0,0,0,23,28,1,1,4,228.5216217
2,2,1,0,0,0,0,0,1,230,28,4,1,5,351.52288818
1,1,0,0,0,0,0,0,0,231,28,4,1,5,351.52288818
0,0,0,0,0,0,0,0,0,232,28,4,1,5,351.52288818
0,1,0,1,1,0,0,0,0,233,28,4,1,5,351.52288818
0,0,0,0,0,0,0,0,0,234,28,4,1,5,351.52288818
3,3,3,3,3,3,2,2,1,235,28,3,1,4,341.71463013
2,3,2,0,2,0,0,0,0,236,28,3,1,4,341.71463013
2,2,0,0,0,0,0,0,0,237,28,3,1,4,341.71463013
2,2,1,2,2,2,1,0,0,238,28,3,1,4,341.71463013
1,0,0,0,0,0,0,0,0,239,28,3,1,4,341.71463013
1,0,0,0,0,0,0,0,0,24,28,1,1,4,228.5216217
2,2,2,2,2,2,1,2,0,240,28,3,1,4,341.71463013
2,2,2,2,2,2,2,2,1,241,28,3,1,4,341.71463013
