formno,variable_name,variable_label,var_value,value_label
form15_2015,fdsec01,Food Security Question #1 “In the past month did you worry that your household would not have enough food?”,0,No     
form15_2015,fdsec01,Food Security Question #1 “In the past month did you worry that your household would not have enough food?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec01,Food Security Question #1 “In the past month did you worry that your household would not have enough food?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec01,Food Security Question #1 “In the past month did you worry that your household would not have enough food?”,3,Yes, often (more than 10 times)
form15_2015,fdsec02,Food Security Question #2 ‘’In the past  month were you or any household member not able to eat the kinds of foods you preferred because of lack of resources”,0,No     
form15_2015,fdsec02,Food Security Question #2 ‘’In the past  month were you or any household member not able to eat the kinds of foods you preferred because of lack of resources”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec02,Food Security Question #2 ‘’In the past  month were you or any household member not able to eat the kinds of foods you preferred because of lack of resources”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec02,Food Security Question #2 ‘’In the past  month were you or any household member not able to eat the kinds of foods you preferred because of lack of resources”,3,Yes, often (more than 10 times)
form15_2015,fdsec03,Food Security Question #3 “In the past month did you or any household member have to eat a limited variety of foods due to a lack of resources?”,0,No     
form15_2015,fdsec03,Food Security Question #3 “In the past month did you or any household member have to eat a limited variety of foods due to a lack of resources?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec03,Food Security Question #3 “In the past month did you or any household member have to eat a limited variety of foods due to a lack of resources?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec03,Food Security Question #3 “In the past month did you or any household member have to eat a limited variety of foods due to a lack of resources?”,3,Yes, often (more than 10 times)
form15_2015,fdsec04,Food Security Question #4 “In the past month did you or any household member have to eat some foods that you really did not want to eat because of lack of resources to obtain other types of foods?”,0,No     
form15_2015,fdsec04,Food Security Question #4 “In the past month did you or any household member have to eat some foods that you really did not want to eat because of lack of resources to obtain other types of foods?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec04,Food Security Question #4 “In the past month did you or any household member have to eat some foods that you really did not want to eat because of lack of resources to obtain other types of foods?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec04,Food Security Question #4 “In the past month did you or any household member have to eat some foods that you really did not want to eat because of lack of resources to obtain other types of foods?”,3,Yes, often (more than 10 times)
form15_2015,fdsec05,Food Security Question #5 “In the past month did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?”,0,No     
form15_2015,fdsec05,Food Security Question #5 “In the past month did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec05,Food Security Question #5 “In the past month did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec05,Food Security Question #5 “In the past month did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?”,3,Yes, often (more than 10 times)
form15_2015,fdsec06,Food Security Question #6 “In the past month did you or any household member have to eat fewer meals in a day because there was not enough food?”,0,No     
form15_2015,fdsec06,Food Security Question #6 “In the past month did you or any household member have to eat fewer meals in a day because there was not enough food?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec06,Food Security Question #6 “In the past month did you or any household member have to eat fewer meals in a day because there was not enough food?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec06,Food Security Question #6 “In the past month did you or any household member have to eat fewer meals in a day because there was not enough food?”,3,Yes, often (more than 10 times)
form15_2015,fdsec07,Food Security Question #7 “In the past month was there ever no food to eat of any kind in your household because of lack of resources to get food?”,0,No     
form15_2015,fdsec07,Food Security Question #7 “In the past month was there ever no food to eat of any kind in your household because of lack of resources to get food?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec07,Food Security Question #7 “In the past month was there ever no food to eat of any kind in your household because of lack of resources to get food?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec07,Food Security Question #7 “In the past month was there ever no food to eat of any kind in your household because of lack of resources to get food?”,3,Yes, often (more than 10 times)
form15_2015,fdsec08,Food Security Question #8 “In the past month did you or any household member go to sleep at night hungry because there was not enough food?”,0,No     
form15_2015,fdsec08,Food Security Question #8 “In the past month did you or any household member go to sleep at night hungry because there was not enough food?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec08,Food Security Question #8 “In the past month did you or any household member go to sleep at night hungry because there was not enough food?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec08,Food Security Question #8 “In the past month did you or any household member go to sleep at night hungry because there was not enough food?”,3,Yes, often (more than 10 times)
form15_2015,fdsec09,Food Security Question #9 “In the past month did you or any household member go a whole day and night without eating anything because there was not enough food?”,0,No     
form15_2015,fdsec09,Food Security Question #9 “In the past month did you or any household member go a whole day and night without eating anything because there was not enough food?”,1,Yes, rarely (1 - 2 times)
form15_2015,fdsec09,Food Security Question #9 “In the past month did you or any household member go a whole day and night without eating anything because there was not enough food?”,2,Yes, sometimes (3 - 10 times)
form15_2015,fdsec09,Food Security Question #9 “In the past month did you or any household member go a whole day and night without eating anything because there was not enough food?”,3,Yes, often (more than 10 times)
form15_2015,hhnum,Household Number  (Unique identifier; merging variable),,
form15_2015,provcode,Name of Provinces,1,ABRA
form15_2015,provcode,Name of Provinces,2,AGUSAN DEL NORTE
form15_2015,provcode,Name of Provinces,3,AGUSAN DEL SUR
form15_2015,provcode,Name of Provinces,4,AKLAN
form15_2015,provcode,Name of Provinces,5,ALBAY
form15_2015,provcode,Name of Provinces,6,ANTIQUE
form15_2015,provcode,Name of Provinces,7,BASILAN
form15_2015,provcode,Name of Provinces,8,BATAAN
form15_2015,provcode,Name of Provinces,10,BATANGAS
form15_2015,provcode,Name of Provinces,11,BENGUET
form15_2015,provcode,Name of Provinces,12,BOHOL
form15_2015,provcode,Name of Provinces,13,BUKIDNON
form15_2015,provcode,Name of Provinces,14,BULACAN
form15_2015,provcode,Name of Provinces,15,CAGAYAN
form15_2015,provcode,Name of Provinces,16,CAMARINES NORTE
form15_2015,provcode,Name of Provinces,17,CAMARINES SUR
form15_2015,provcode,Name of Provinces,18,CAMIGUIN
form15_2015,provcode,Name of Provinces,19,CAPIZ
form15_2015,provcode,Name of Provinces,20,CATANDUANES
form15_2015,provcode,Name of Provinces,21,CAVITE
