formno,variable_name,variable_label,var_value,value_label
form43_2015,hhnum,Household Number (Unique identifier; merging variable),,
form43_2015,strrec,Strata Code,,
form43_2015,regcode,Name of Regions,1,ILOCOS REGION
form43_2015,regcode,Name of Regions,2,CAGAYAN VALLEY
form43_2015,regcode,Name of Regions,3,CENTRAL LUZON
form43_2015,regcode,Name of Regions,5,BICOL
form43_2015,regcode,Name of Regions,6,WESTERN VISAYAS
form43_2015,regcode,Name of Regions,7,CENTRAL VISAYAS
form43_2015,regcode,Name of Regions,8,EASTERN VISAYAS
form43_2015,regcode,Name of Regions,9,ZAMBOANGA PENINSULA
form43_2015,regcode,Name of Regions,10,NORTHERN MINDANAO
form43_2015,regcode,Name of Regions,11,DAVAO REGION
form43_2015,regcode,Name of Regions,12,SOCCSKSARGEN
form43_2015,regcode,Name of Regions,13,NATIONAL CAPITAL REGION
form43_2015,regcode,Name of Regions,14,CORDILLERA ADMINISTRATIVE REGION
form43_2015,regcode,Name of Regions,15,ARMM
form43_2015,regcode,Name of Regions,16,CARAGA
form43_2015,regcode,Name of Regions,41,CALABARZON
form43_2015,regcode,Name of Regions,42,MIMAROPA
form43_2015,psurec,Primary Sampling Unit,,
form43_2015,provcode,Name of Provinces,1,ABRA
form43_2015,provcode,Name of Provinces,2,AGUSAN DEL NORTE
form43_2015,provcode,Name of Provinces,3,AGUSAN DEL SUR
form43_2015,provcode,Name of Provinces,4,AKLAN
form43_2015,provcode,Name of Provinces,5,ALBAY
form43_2015,provcode,Name of Provinces,6,ANTIQUE
form43_2015,provcode,Name of Provinces,7,BASILAN
form43_2015,provcode,Name of Provinces,8,BATAAN
form43_2015,provcode,Name of Provinces,10,BATANGAS
form43_2015,provcode,Name of Provinces,11,BENGUET
form43_2015,provcode,Name of Provinces,12,BOHOL
form43_2015,provcode,Name of Provinces,13,BUKIDNON
form43_2015,provcode,Name of Provinces,14,BULACAN
form43_2015,provcode,Name of Provinces,15,CAGAYAN
form43_2015,provcode,Name of Provinces,16,CAMARINES NORTE
form43_2015,provcode,Name of Provinces,17,CAMARINES SUR
form43_2015,provcode,Name of Provinces,18,CAMIGUIN
form43_2015,provcode,Name of Provinces,19,CAPIZ
form43_2015,provcode,Name of Provinces,20,CATANDUANES
form43_2015,provcode,Name of Provinces,21,CAVITE
form43_2015,provcode,Name of Provinces,22,CEBU
form43_2015,provcode,Name of Provinces,23,DAVAO (DAVAO DEL NORTE)
form43_2015,provcode,Name of Provinces,24,DAVAO DEL SUR
