makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelmain,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
1,11,1,2,3,3,1,0,1,1,1,1,28,4,1,5,2,6,375.89920044,1,1,0,1,0,1,0
9,91,3,1,3,3,1,0,1,1,1,1,28,2,10,5,2,8,375.89920044,1,1,0,9,0,1,0
0,11,1,1,3,1,5,0,1,1,1,2,28,2,100,4,6,8,271.45379639,1,1,0,0,0,1,1
9,91,1,2,1,1,5,0,1,1,1,2,28,1,101,4,6,8,271.45379639,1,1,0,9,0,1,0
2,31,1,1,1,1,5,0,0,1,1,2,28,2,102,4,2,8,271.45379639,1,1,0,1,1,0,0
1,31,1,1,1,1,5,0,1,1,1,2,28,1,103,2,6,8,271.45379639,1,1,0,1,1,0,0
9,91,2,2,1,1,5,0,0,1,1,2,28,4,104,5,2,8,271.45379639,1,1,0,9,0,0,1
9,91,1,1,1,1,5,0,0,1,1,2,28,3,105,3,6,8,271.45379639,1,1,0,9,0,1,1
9,91,1,1,2,2,5,1,0,1,1,2,28,1,106,2,6,8,271.45379639,4,1,0,9,0,1,0
9,91,1,1,1,1,5,0,0,1,1,2,28,4,107,5,2,6,271.45379639,4,1,0,9,0,1,1
9,91,1,2,1,1,5,0,1,1,1,2,28,3,108,4,6,8,271.45379639,1,1,0,9,0,0,1
2,31,5,1,3,1,5,1,1,5,1,2,28,1,109,1,6,8,271.45379639,1,1,0,1,1,0,0
1,11,1,2,1,1,1,0,1,1,1,1,28,4,11,5,5,6,375.89920044,1,1,0,1,0,1,0
2,12,1,1,3,3,5,0,1,1,1,2,28,2,110,3,2,8,271.45379639,1,1,0,1,1,0,0
4,12,2,1,1,1,5,0,0,1,1,2,28,2,111,2,6,8,271.45379639,1,1,1,1,1,0,0
2,12,1,1,3,1,5,1,1,1,1,2,28,2,112,1,6,8,271.45379639,4,1,0,1,1,0,1
1,12,1,1,3,1,5,1,1,1,1,2,28,1,113,3,6,8,271.45379639,1,1,0,1,1,0,0
