formno,variable_name,variable_label,var_value,value_label
form82_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form82_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form82_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form82_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form82_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form82_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form82_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form82_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form82_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form82_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form82_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form82_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form82_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form82_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form82_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form82_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form82_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form82_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form82_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form82_2018,provhuc,Province and HUCs Level,4,Pangasinan
form82_2018,provhuc,Province and HUCs Level,5,Batanes
form82_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form82_2018,provhuc,Province and HUCs Level,7,Isabela Province
form82_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form82_2018,provhuc,Province and HUCs Level,9,Quirino
form82_2018,provhuc,Province and HUCs Level,10,Bataan
form82_2018,provhuc,Province and HUCs Level,11,Bulacan
form82_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form82_2018,provhuc,Province and HUCs Level,13,Angeles City
form82_2018,provhuc,Province and HUCs Level,14,Pampanga
form82_2018,provhuc,Province and HUCs Level,15,Tarlac
form82_2018,provhuc,Province and HUCs Level,16,Zambales
form82_2018,provhuc,Province and HUCs Level,17,Olongapo City
form82_2018,provhuc,Province and HUCs Level,18,Aurora
form82_2018,provhuc,Province and HUCs Level,21,Laguna
form82_2018,provhuc,Province and HUCs Level,22,Quezon Province
form82_2018,provhuc,Province and HUCs Level,23,Lucena City
