formno,variable_name,variable_label,var_value,value_label
form71_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form71_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form71_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form71_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form71_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form71_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form71_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form71_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form71_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form71_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form71_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form71_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form71_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form71_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form71_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form71_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form71_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form71_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form71_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form71_2018,provhuc,Province and HUCs Level,3,La Union
form71_2018,provhuc,Province and HUCs Level,4,Pangasinan
form71_2018,provhuc,Province and HUCs Level,5,Batanes
form71_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form71_2018,provhuc,Province and HUCs Level,7,Isabela Province
form71_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form71_2018,provhuc,Province and HUCs Level,9,Quirino
form71_2018,provhuc,Province and HUCs Level,10,Bataan
form71_2018,provhuc,Province and HUCs Level,11,Bulacan
form71_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form71_2018,provhuc,Province and HUCs Level,13,Angeles City
form71_2018,provhuc,Province and HUCs Level,14,Pampanga
form71_2018,provhuc,Province and HUCs Level,15,Tarlac
form71_2018,provhuc,Province and HUCs Level,16,Zambales
form71_2018,provhuc,Province and HUCs Level,17,Olongapo City
form71_2018,provhuc,Province and HUCs Level,18,Aurora
form71_2018,provhuc,Province and HUCs Level,19,Batangas
form71_2018,provhuc,Province and HUCs Level,20,Cavite
form71_2018,provhuc,Province and HUCs Level,21,Laguna
form71_2018,provhuc,Province and HUCs Level,22,Quezon Province
form71_2018,provhuc,Province and HUCs Level,23,Lucena City
form71_2018,provhuc,Province and HUCs Level,24,Rizal
form71_2018,provhuc,Province and HUCs Level,25,Marinduque
form71_2018,provhuc,Province and HUCs Level,26,Occidental Mindoro
form71_2018,provhuc,Province and HUCs Level,27,Oriental Mindoro
form71_2018,provhuc,Province and HUCs Level,28,Palawan
form71_2018,provhuc,Province and HUCs Level,29,Puerto Princesa City
form71_2018,provhuc,Province and HUCs Level,30,Romblon
form71_2018,provhuc,Province and HUCs Level,31,Albay
form71_2018,provhuc,Province and HUCs Level,32,Camarines Norte
form71_2018,provhuc,Province and HUCs Level,33,Camarines Sur
form71_2018,provhuc,Province and HUCs Level,34,Catanduanes
form71_2018,provhuc,Province and HUCs Level,35,Masbate
form71_2018,provhuc,Province and HUCs Level,36,Sorsogon
form71_2018,provhuc,Province and HUCs Level,37,Aklan
form71_2018,provhuc,Province and HUCs Level,38,Antique
form71_2018,provhuc,Province and HUCs Level,39,Capiz
form71_2018,provhuc,Province and HUCs Level,40,Iloilo City
form71_2018,provhuc,Province and HUCs Level,41,Iloilo Province
form71_2018,provhuc,Province and HUCs Level,42,Bacolod City
form71_2018,provhuc,Province and HUCs Level,43,Negros Occidental
