formno,variable_name,variable_label,var_value,value_label
form15_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form15_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form15_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form15_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form15_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form15_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form15_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form15_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form15_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form15_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form15_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form15_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form15_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form15_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form15_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form15_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form15_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form15_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form15_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form15_2018,provhuc,Province and HUCs Level,3,La Union
form15_2018,provhuc,Province and HUCs Level,4,Pangasinan
form15_2018,provhuc,Province and HUCs Level,5,Batanes
form15_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form15_2018,provhuc,Province and HUCs Level,7,Isabela Province
form15_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form15_2018,provhuc,Province and HUCs Level,9,Quirino
form15_2018,provhuc,Province and HUCs Level,10,Bataan
form15_2018,provhuc,Province and HUCs Level,11,Bulacan
form15_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form15_2018,provhuc,Province and HUCs Level,13,Angeles City
form15_2018,provhuc,Province and HUCs Level,14,Pampanga
form15_2018,provhuc,Province and HUCs Level,15,Tarlac
form15_2018,provhuc,Province and HUCs Level,16,Zambales
form15_2018,provhuc,Province and HUCs Level,17,Olongapo City
form15_2018,provhuc,Province and HUCs Level,18,Aurora
form15_2018,provhuc,Province and HUCs Level,19,Batangas
form15_2018,provhuc,Province and HUCs Level,20,Cavite
form15_2018,provhuc,Province and HUCs Level,21,Laguna
form15_2018,provhuc,Province and HUCs Level,22,Quezon Province
form15_2018,provhuc,Province and HUCs Level,23,Lucena City
form15_2018,provhuc,Province and HUCs Level,24,Rizal
form15_2018,provhuc,Province and HUCs Level,25,Marinduque
form15_2018,provhuc,Province and HUCs Level,26,Occidental Mindoro
form15_2018,provhuc,Province and HUCs Level,27,Oriental Mindoro
form15_2018,provhuc,Province and HUCs Level,28,Palawan
form15_2018,provhuc,Province and HUCs Level,29,Puerto Princesa City
form15_2018,provhuc,Province and HUCs Level,30,Romblon
form15_2018,provhuc,Province and HUCs Level,31,Albay
form15_2018,provhuc,Province and HUCs Level,32,Camarines Norte
