formno,variable_name,variable_label,var_value,value_label
form43_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form43_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form43_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form43_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form43_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form43_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form43_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form43_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form43_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form43_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form43_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form43_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form43_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form43_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form43_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form43_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form43_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form43_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form43_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form43_2018,provhuc,Province and HUCs Level,3,La Union
form43_2018,provhuc,Province and HUCs Level,4,Pangasinan
form43_2018,provhuc,Province and HUCs Level,5,Batanes
form43_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form43_2018,provhuc,Province and HUCs Level,7,Isabela Province
form43_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form43_2018,provhuc,Province and HUCs Level,9,Quirino
form43_2018,provhuc,Province and HUCs Level,10,Bataan
form43_2018,provhuc,Province and HUCs Level,11,Bulacan
form43_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form43_2018,provhuc,Province and HUCs Level,13,Angeles City
form43_2018,provhuc,Province and HUCs Level,14,Pampanga
form43_2018,provhuc,Province and HUCs Level,15,Tarlac
form43_2018,provhuc,Province and HUCs Level,16,Zambales
