formno,variable_name,variable_label,var_value,value_label
form31_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form31_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form31_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form31_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form31_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form31_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form31_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form31_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form31_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form31_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form31_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form31_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form31_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form31_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form31_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form31_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form31_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form31_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form31_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form31_2018,provhuc,Province and HUCs Level,3,La Union
form31_2018,provhuc,Province and HUCs Level,4,Pangasinan
form31_2018,provhuc,Province and HUCs Level,5,Batanes
form31_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form31_2018,provhuc,Province and HUCs Level,7,Isabela Province
form31_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form31_2018,provhuc,Province and HUCs Level,9,Quirino
form31_2018,provhuc,Province and HUCs Level,10,Bataan
form31_2018,provhuc,Province and HUCs Level,11,Bulacan
form31_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form31_2018,provhuc,Province and HUCs Level,13,Angeles City
form31_2018,provhuc,Province and HUCs Level,14,Pampanga
form31_2018,provhuc,Province and HUCs Level,15,Tarlac
form31_2018,provhuc,Province and HUCs Level,16,Zambales
form31_2018,provhuc,Province and HUCs Level,17,Olongapo City
form31_2018,provhuc,Province and HUCs Level,18,Aurora
form31_2018,provhuc,Province and HUCs Level,19,Batangas
form31_2018,provhuc,Province and HUCs Level,20,Cavite
form31_2018,provhuc,Province and HUCs Level,21,Laguna
form31_2018,provhuc,Province and HUCs Level,22,Quezon Province
form31_2018,provhuc,Province and HUCs Level,23,Lucena City
form31_2018,provhuc,Province and HUCs Level,24,Rizal
form31_2018,provhuc,Province and HUCs Level,25,Marinduque
form31_2018,provhuc,Province and HUCs Level,26,Occidental Mindoro
form31_2018,provhuc,Province and HUCs Level,27,Oriental Mindoro
form31_2018,provhuc,Province and HUCs Level,28,Palawan
form31_2018,provhuc,Province and HUCs Level,29,Puerto Princesa City
form31_2018,provhuc,Province and HUCs Level,30,Romblon
form31_2018,provhuc,Province and HUCs Level,31,Albay
form31_2018,provhuc,Province and HUCs Level,32,Camarines Norte
form31_2018,provhuc,Province and HUCs Level,33,Camarines Sur
form31_2018,provhuc,Province and HUCs Level,34,Catanduanes
form31_2018,provhuc,Province and HUCs Level,35,Masbate
form31_2018,provhuc,Province and HUCs Level,36,Sorsogon
form31_2018,provhuc,Province and HUCs Level,37,Aklan
form31_2018,provhuc,Province and HUCs Level,38,Antique
form31_2018,provhuc,Province and HUCs Level,39,Capiz
form31_2018,provhuc,Province and HUCs Level,40,Iloilo City
form31_2018,provhuc,Province and HUCs Level,41,Iloilo Province
