formno,variable_name,variable_label,var_value,value_label
form12_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form12_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form12_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form12_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form12_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form12_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form12_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form12_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form12_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form12_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form12_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form12_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form12_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form12_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form12_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form12_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form12_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form12_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form12_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form12_2018,provhuc,Province and HUCs Level,3,La Union
form12_2018,provhuc,Province and HUCs Level,4,Pangasinan
form12_2018,provhuc,Province and HUCs Level,5,Batanes
form12_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form12_2018,provhuc,Province and HUCs Level,7,Isabela Province
form12_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form12_2018,provhuc,Province and HUCs Level,9,Quirino
form12_2018,provhuc,Province and HUCs Level,10,Bataan
form12_2018,provhuc,Province and HUCs Level,11,Bulacan
form12_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form12_2018,provhuc,Province and HUCs Level,13,Angeles City
form12_2018,provhuc,Province and HUCs Level,14,Pampanga
form12_2018,provhuc,Province and HUCs Level,15,Tarlac
form12_2018,provhuc,Province and HUCs Level,16,Zambales
form12_2018,provhuc,Province and HUCs Level,17,Olongapo City
form12_2018,provhuc,Province and HUCs Level,18,Aurora
form12_2018,provhuc,Province and HUCs Level,19,Batangas
form12_2018,provhuc,Province and HUCs Level,20,Cavite
