formno,variable_name,variable_label,var_value,value_label
form5_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form5_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form5_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form5_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form5_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form5_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form5_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form5_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form5_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form5_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form5_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form5_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form5_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form5_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form5_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form5_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form5_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form5_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form5_2018,provhuc,Province and HUCs Level,4,Pangasinan
form5_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form5_2018,provhuc,Province and HUCs Level,7,Isabela Province
form5_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form5_2018,provhuc,Province and HUCs Level,9,Quirino
form5_2018,provhuc,Province and HUCs Level,11,Bulacan
form5_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form5_2018,provhuc,Province and HUCs Level,13,Angeles City
form5_2018,provhuc,Province and HUCs Level,14,Pampanga
form5_2018,provhuc,Province and HUCs Level,16,Zambales
form5_2018,provhuc,Province and HUCs Level,17,Olongapo City
form5_2018,provhuc,Province and HUCs Level,21,Laguna
form5_2018,provhuc,Province and HUCs Level,22,Quezon Province
form5_2018,provhuc,Province and HUCs Level,24,Rizal
form5_2018,provhuc,Province and HUCs Level,25,Marinduque
form5_2018,provhuc,Province and HUCs Level,27,Oriental Mindoro
form5_2018,provhuc,Province and HUCs Level,28,Palawan
form5_2018,provhuc,Province and HUCs Level,29,Puerto Princesa City
